stationid,compname,time,Fotos_0_Link,Fotos_0_Thumb,subzahl,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,FotoAnzahl,meantype,value,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y,unit,valueclass,Fotos_1_Thumb,Fotos_1_Link,Fotos_2_Link,Fotos_2_Thumb,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Link,Fotos_5_Thumb,Fotos_6_Thumb,Fotos_6_Link,Fotos_7_Thumb,Fotos_7_Link,Fotos_8_Thumb,Fotos_8_Link
03:2101,Ozon,5 Aug 2022 21:00:00 GMT+0100,/pub/fotos/stations/032101 nN.jpg,/pub/fotos/stations/thumbs/032101 nN.jpg,1,Wiesmath,Mäuserriegel,Amt der Niederösterreichischen Landesregierung,3.0,HMW,136,EPSG:31287,16.29305556,738,47.60833333,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/032101 nNO.JPG,/pub/fotos/stations/032101 nNO.JPG,/pub/fotos/stations/032101 nW.jpg,/pub/fotos/stations/thumbs/032101 nW.jpg,,,,,,,,,,,,
10:PIL1,Ozon,6 Aug 2022 00:00:00 GMT+0100,/pub/fotos/stations/10PIL1 nN.jpg,/pub/fotos/stations/thumbs/10PIL1 nN.jpg,1,Pillersdorf bei Retz,Am Öhlberg,Umweltbundesamt,4.0,HMW,140,EPSG:31287,15.93595,315,48.7212,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/10PIL1 nONO.jpg,/pub/fotos/stations/10PIL1 nONO.jpg,/pub/fotos/stations/10PIL1 nSO.jpg,/pub/fotos/stations/thumbs/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nW.jpg,/pub/fotos/stations/thumbs/10PIL1 nW.jpg,,,,,,,,,,
03:0601,Ozon,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030601 nN.jpg,/pub/fotos/stations/thumbs/030601 nN.jpg,1,Klosterneuburg Meynertgasse,"Meynertgasse, südwestlich vom Wasserhochbehälter",Amt der Niederösterreichischen Landesregierung,4.0,HMW,141,EPSG:31287,16.31395,260,48.30246,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/030601 nO.JPG,/pub/fotos/stations/030601 nO.JPG,/pub/fotos/stations/030601 nS.jpg,/pub/fotos/stations/thumbs/030601 nS.jpg,/pub/fotos/stations/030601 nW.jpg,/pub/fotos/stations/thumbs/030601 nW.jpg,,,,,,,,,,
03:0202,Ozon,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030202 nS.jpg,/pub/fotos/stations/thumbs/030202 nS.jpg,1,Forsthof am Schöpfl,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,2.0,HMW,146,EPSG:31287,15.9189,581,48.1051,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/030202 nSW.JPG,/pub/fotos/stations/030202 nSW.JPG,,,,,,,,,,,,,,
03:1701,Ozon,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/031701 nN.jpg,/pub/fotos/stations/thumbs/031701 nN.jpg,1,Dunkelsteinerwald - Unterbergern,Unterbergern Bäckerberg,Amt der Niederösterreichischen Landesregierung,3.0,HMW,146,EPSG:31287,15.54583333,320,48.370278,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/031701 nO.jpg,/pub/fotos/stations/031701 nO.jpg,/pub/fotos/stations/031701 nW.jpg,/pub/fotos/stations/thumbs/031701 nW.jpg,,,,,,,,,,,,
06:156,Ozon,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06156 nN.jpg,/pub/fotos/stations/thumbs/06156 nN.jpg,1,Masenberg,"Masenberg, Sender oberhalb von Waldhansl",Amt der Steiermärkischen Landesregierung,6.0,HMW,146,EPSG:31287,15.882222,1180,47.34806,µg/m³,NOCLASS,/pub/fotos/stations/thumbs/06156 nNW.JPG,/pub/fotos/stations/06156 nNW.JPG,/pub/fotos/stations/06156 nS.JPG,/pub/fotos/stations/thumbs/06156 nS.JPG,/pub/fotos/stations/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSW.JPG,/pub/fotos/stations/06156 nSW.JPG,/pub/fotos/stations/06156 nW.JPG,/pub/fotos/stations/thumbs/06156 nW.JPG,,,,,,
03:1502,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/031502 nN.jpg,/pub/fotos/stations/thumbs/031502 nN.jpg,1,Payerbach - Kreuzberg,"Kreuzberg, Althammerhofstraße, Coronakreuz",Amt der Niederösterreichischen Landesregierung,4.0,HMW,1,EPSG:31287,15.860277778,890,47.67027778,µg/m³,1,/pub/fotos/stations/thumbs/031502 nO.JPG,/pub/fotos/stations/031502 nO.JPG,/pub/fotos/stations/031502 nS.jpg,/pub/fotos/stations/thumbs/031502 nS.jpg,/pub/fotos/stations/031502 nW.jpg,/pub/fotos/stations/thumbs/031502 nW.jpg,,,,,,,,,,
10:SON1,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10SON1 nN.jpg,/pub/fotos/stations/thumbs/10SON1 nN.jpg,2,Sonnblick,Wetterobservatorium Hoher Sonnblick,Umweltbundesamt,5.0,HMW,1,EPSG:31287,12.9583,3106,47.0541667,µg/m³,1,/pub/fotos/stations/thumbs/10SON1 nS.jpg,/pub/fotos/stations/10SON1 nS.jpg,/pub/fotos/stations/10SON1 nSO.jpg,/pub/fotos/stations/thumbs/10SON1 nSO.jpg,/pub/fotos/stations/10SON1 nSW.jpg,/pub/fotos/stations/thumbs/10SON1 nSW.jpg,/pub/fotos/stations/thumbs/10SON1 nW sehr weitwinkelig.jpg,/pub/fotos/stations/10SON1 nW sehr weitwinkelig.jpg,,,,,,,,
10:VOR1,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10VOR1 nN.jpg,/pub/fotos/stations/thumbs/10VOR1 nN.jpg,1,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",Umweltbundesamt,7.0,HMW,1,EPSG:31287,12.972,1010,46.6775,µg/m³,1,/pub/fotos/stations/thumbs/10VOR1 nNO.JPG,/pub/fotos/stations/10VOR1 nNO.JPG,/pub/fotos/stations/10VOR1 nO.jpg,/pub/fotos/stations/thumbs/10VOR1 nO.jpg,/pub/fotos/stations/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nS.jpg,/pub/fotos/stations/thumbs/10VOR1 nSO.jpg,/pub/fotos/stations/10VOR1 nSO.jpg,/pub/fotos/stations/10VOR1 nSW.JPG,/pub/fotos/stations/thumbs/10VOR1 nSW.JPG,/pub/fotos/stations/thumbs/10VOR1 nW.JPG,/pub/fotos/stations/10VOR1 nW.JPG,,,,
04:S108,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S108 nN.jpg,/pub/fotos/stations/thumbs/04S108 nN.jpg,1,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,Amt der Oberösterreichischen Landesregierung,5.0,HMW,2,EPSG:31287,14.574722222222,918,48.53111111,µg/m³,1,/pub/fotos/stations/thumbs/04S108 nNO.jpg,/pub/fotos/stations/04S108 nNO.jpg,/pub/fotos/stations/04S108 nO.JPG,/pub/fotos/stations/thumbs/04S108 nO.JPG,/pub/fotos/stations/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nW.JPG,/pub/fotos/stations/04S108 nW.JPG,,,,,,,,
04:S156,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S156 nN.jpg,/pub/fotos/stations/thumbs/04S156 nN.jpg,1,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",Amt der Oberösterreichischen Landesregierung,3.0,HMW,2,EPSG:31287,13.03923,350,48.257474,µg/m³,1,/pub/fotos/stations/thumbs/04S156 nS.JPG,/pub/fotos/stations/04S156 nS.JPG,/pub/fotos/stations/04S156 nW.JPG,/pub/fotos/stations/thumbs/04S156 nW.JPG,,,,,,,,,,,,
05:3055,Stickstoffdioxid,5 Aug 2022 22:30:00 GMT+0100,/pub/fotos/stations/053055 nNW.jpg,/pub/fotos/stations/thumbs/053055 nNW.jpg,1,Haunsberg,SAFE Funkstation Simmerstatt,Amt der Salzburger Landesregierung,4.0,HMW,2,EPSG:31287,13.0158333,730,47.936667,µg/m³,1,/pub/fotos/stations/thumbs/053055 nS.jpg,/pub/fotos/stations/053055 nS.jpg,/pub/fotos/stations/053055 nSO.jpg,/pub/fotos/stations/thumbs/053055 nSO.jpg,/pub/fotos/stations/053055 nW.jpg,/pub/fotos/stations/thumbs/053055 nW.jpg,,,,,,,,,,
06:156,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06156 nN.jpg,/pub/fotos/stations/thumbs/06156 nN.jpg,1,Masenberg,"Masenberg, Sender oberhalb von Waldhansl",Amt der Steiermärkischen Landesregierung,6.0,HMW,2,EPSG:31287,15.882222,1180,47.34806,µg/m³,1,/pub/fotos/stations/thumbs/06156 nNW.JPG,/pub/fotos/stations/06156 nNW.JPG,/pub/fotos/stations/06156 nS.JPG,/pub/fotos/stations/thumbs/06156 nS.JPG,/pub/fotos/stations/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSO.JPG,/pub/fotos/stations/thumbs/06156 nSW.JPG,/pub/fotos/stations/06156 nSW.JPG,/pub/fotos/stations/06156 nW.JPG,/pub/fotos/stations/thumbs/06156 nW.JPG,,,,,,
01:0007,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,,,1,Pöttelsdorf,Berggasse,Amt der Burgenländischen Landesregierung,,HMW,3,EPSG:31287,16.434389,214,47.749044,µg/m³,1,,,,,,,,,,,,,,,,
02:SP10,Stickstoffdioxid,6 Aug 2022 00:00:00 GMT+0100,/pub/fotos/stations/02SP10 nN.JPG,/pub/fotos/stations/thumbs/02SP10 nN.JPG,1,Obervellach Schulzentrum,"Schulzentrum Obervellach-West 27, Dürnvellach",Amt der Kärntner Landesregierung,5.0,HMW,3,EPSG:31287,13.194533,686,46.935,µg/m³,1,/pub/fotos/stations/thumbs/02SP10 nNO.JPG,/pub/fotos/stations/02SP10 nNO.JPG,/pub/fotos/stations/02SP10 nNW.JPG,/pub/fotos/stations/thumbs/02SP10 nNW.JPG,/pub/fotos/stations/02SP10 nO.jpg,/pub/fotos/stations/thumbs/02SP10 nO.jpg,/pub/fotos/stations/thumbs/02SP10 nW.jpg,/pub/fotos/stations/02SP10 nW.jpg,,,,,,,,
03:0202,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030202 nS.jpg,/pub/fotos/stations/thumbs/030202 nS.jpg,1,Forsthof am Schöpfl,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,2.0,HMW,3,EPSG:31287,15.9189,581,48.1051,µg/m³,1,/pub/fotos/stations/thumbs/030202 nSW.JPG,/pub/fotos/stations/030202 nSW.JPG,,,,,,,,,,,,,,
03:0601,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030601 nN.jpg,/pub/fotos/stations/thumbs/030601 nN.jpg,1,Klosterneuburg Meynertgasse,"Meynertgasse, südwestlich vom Wasserhochbehälter",Amt der Niederösterreichischen Landesregierung,4.0,HMW,3,EPSG:31287,16.31395,260,48.30246,µg/m³,1,/pub/fotos/stations/thumbs/030601 nO.JPG,/pub/fotos/stations/030601 nO.JPG,/pub/fotos/stations/030601 nS.jpg,/pub/fotos/stations/thumbs/030601 nS.jpg,/pub/fotos/stations/030601 nW.jpg,/pub/fotos/stations/thumbs/030601 nW.jpg,,,,,,,,,,
04:S125,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S125 nNO.jpg,/pub/fotos/stations/thumbs/04S125 nNO.jpg,1,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),Amt der Oberösterreichischen Landesregierung,4.0,HMW,3,EPSG:31287,13.632222222222223,460,47.71611111111111,µg/m³,1,/pub/fotos/stations/thumbs/04S125 nNW.JPG,/pub/fotos/stations/04S125 nNW.JPG,/pub/fotos/stations/04S125 nSO.JPG,/pub/fotos/stations/thumbs/04S125 nSO.JPG,/pub/fotos/stations/04S125 nSW.jpg,/pub/fotos/stations/thumbs/04S125 nSW.jpg,,,,,,,,,,
04:S432,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S432 nO.jpg,/pub/fotos/stations/thumbs/04S432 nO.jpg,1,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,Amt der Oberösterreichischen Landesregierung,3.0,HMW,3,EPSG:31287,13.60892,485,47.97386,µg/m³,1,/pub/fotos/stations/thumbs/04S432 nS.jpg,/pub/fotos/stations/04S432 nS.jpg,/pub/fotos/stations/04S432 nSW.jpg,/pub/fotos/stations/thumbs/04S432 nSW.jpg,,,,,,,,,,,,
05:2100,Stickstoffdioxid,5 Aug 2022 22:30:00 GMT+0100,/pub/fotos/stations/052100 nN.jpg,/pub/fotos/stations/thumbs/052100 nN.jpg,1,Hallein Winterstall,Winterstallstraße,Amt der Salzburger Landesregierung,3.0,HMW,3,EPSG:31287,13.106,650,47.667,µg/m³,1,/pub/fotos/stations/thumbs/052100 nO.jpg,/pub/fotos/stations/052100 nO.jpg,/pub/fotos/stations/052100 nS.jpg,/pub/fotos/stations/thumbs/052100 nS.jpg,,,,,,,,,,,,
06:106,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06106 nSW.JPG,/pub/fotos/stations/thumbs/06106 nSW.JPG,1,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",Amt der Steiermärkischen Landesregierung,1.0,HMW,3,EPSG:31287,15.086667,445,47.06333,µg/m³,1,,,,,,,,,,,,,,,,
06:151,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06151 nN.JPG,/pub/fotos/stations/thumbs/06151 nN.JPG,1,Bockberg,"Bockbergweg, Jöbstl-Arbeiter",Amt der Steiermärkischen Landesregierung,4.0,HMW,3,EPSG:31287,15.495833333333331,449,46.87138888888889,µg/m³,1,/pub/fotos/stations/thumbs/06151 nO.JPG,/pub/fotos/stations/06151 nO.JPG,/pub/fotos/stations/06151 nSO.JPG,/pub/fotos/stations/thumbs/06151 nSO.JPG,/pub/fotos/stations/06151 nW.JPG,/pub/fotos/stations/thumbs/06151 nW.JPG,,,,,,,,,,
06:177,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06177 nN.JPG,/pub/fotos/stations/thumbs/06177 nN.JPG,1,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung,6.0,HMW,3,EPSG:31287,14.244676,649,47.565439,µg/m³,1,/pub/fotos/stations/thumbs/06177 nNW.JPG,/pub/fotos/stations/06177 nNW.JPG,/pub/fotos/stations/06177 nO.JPG,/pub/fotos/stations/thumbs/06177 nO.JPG,/pub/fotos/stations/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSW.JPG,/pub/fotos/stations/06177 nSW.JPG,/pub/fotos/stations/06177 nW.JPG,/pub/fotos/stations/thumbs/06177 nW.JPG,,,,,,
06:197,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06197 nN.JPG,/pub/fotos/stations/thumbs/06197 nN.JPG,1,Leibnitz Lastenstraße,"Lastenstraße 12, Volksschule",Amt der Steiermärkischen Landesregierung,4.0,HMW,3,EPSG:31287,15.540555555555554,272,46.77833333333333,µg/m³,1,/pub/fotos/stations/thumbs/06197 nO.JPG,/pub/fotos/stations/06197 nO.JPG,/pub/fotos/stations/06197 nS.JPG,/pub/fotos/stations/thumbs/06197 nS.JPG,/pub/fotos/stations/06197 nW.JPG,/pub/fotos/stations/thumbs/06197 nW.JPG,,,,,,,,,,
07:2113,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/072113 nN.JPG,/pub/fotos/stations/thumbs/072113 nN.JPG,1,Innsbruck Sadrach,Sadrach - Buttererbichl,Amt der Tiroler Landesregierung,5.0,HMW,3,EPSG:31287,11.3746611,678,47.2699028,µg/m³,1,/pub/fotos/stations/thumbs/072113 nO.JPG,/pub/fotos/stations/072113 nO.JPG,/pub/fotos/stations/072113 nS.JPG,/pub/fotos/stations/thumbs/072113 nS.JPG,/pub/fotos/stations/072113 nSO.JPG,/pub/fotos/stations/thumbs/072113 nSO.JPG,/pub/fotos/stations/thumbs/072113 nW.JPG,/pub/fotos/stations/072113 nW.JPG,,,,,,,,
07:2912,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/072912 nN.JPG,/pub/fotos/stations/thumbs/072912 nN.JPG,1,"Lienz Tristacher-See-Straße, Tiefbrunnen ","Tristacher-See-Straße, Tiefbrunnen",Amt der Tiroler Landesregierung,5.0,HMW,3,EPSG:31287,12.766025,681,46.8191111,µg/m³,1,/pub/fotos/stations/thumbs/072912 nNO.JPG,/pub/fotos/stations/072912 nNO.JPG,/pub/fotos/stations/072912 nO.JPG,/pub/fotos/stations/thumbs/072912 nO.JPG,/pub/fotos/stations/072912 nS.JPG,/pub/fotos/stations/thumbs/072912 nS.JPG,/pub/fotos/stations/thumbs/072912 nW.JPG,/pub/fotos/stations/072912 nW.JPG,,,,,,,,
09:ZA,Stickstoffdioxid,5 Aug 2022 22:00:00 GMT+0100,/pub/fotos/stations/09ZA nO.JPG,/pub/fotos/stations/thumbs/09ZA nO.JPG,1,Hohe Warte,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",Gemeinde Wien - MA22 Umweltschutz,4.0,HMW,3,EPSG:31287,16.357079,210,48.248993,µg/m³,1,/pub/fotos/stations/thumbs/09ZA nS.JPG,/pub/fotos/stations/09ZA nS.JPG,/pub/fotos/stations/09ZA nSW.JPG,/pub/fotos/stations/thumbs/09ZA nSW.JPG,/pub/fotos/stations/09ZA nW.JPG,/pub/fotos/stations/thumbs/09ZA nW.JPG,,,,,,,,,,
10:ZOE2,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10ZOE2 nN.jpg,/pub/fotos/stations/thumbs/10ZOE2 nN.jpg,2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt,4.0,HMW,3,EPSG:31287,14.44095,899,47.83828,µg/m³,1,/pub/fotos/stations/thumbs/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nS.jpg,/pub/fotos/stations/thumbs/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nW.jpg,/pub/fotos/stations/thumbs/10ZOE2 nW.jpg,,,,,,,,,,
01:0001,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/010001 nN.jpg,/pub/fotos/stations/thumbs/010001 nN.jpg,1,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",Amt der Burgenländischen Landesregierung,5.0,HMW,4,EPSG:31287,16.52617,165,47.8401138,µg/m³,1,/pub/fotos/stations/thumbs/010001 nNW.JPG,/pub/fotos/stations/010001 nNW.JPG,/pub/fotos/stations/010001 nO.JPG,/pub/fotos/stations/thumbs/010001 nO.JPG,/pub/fotos/stations/010001 nS.jpg,/pub/fotos/stations/thumbs/010001 nS.jpg,/pub/fotos/stations/thumbs/010001 nW.JPG,/pub/fotos/stations/010001 nW.JPG,,,,,,,,
03:0201,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030201 nN.JPG,/pub/fotos/stations/thumbs/030201 nN.JPG,1,"Bad Vöslau, Gainfarn","Kottingbrunner Straße, Gymnasium Gainfarn, Sportplatz",Amt der Niederösterreichischen Landesregierung,4.0,HMW,4,EPSG:31287,16.20573,265,47.9592,µg/m³,1,/pub/fotos/stations/thumbs/030201 nO.jpg,/pub/fotos/stations/030201 nO.jpg,/pub/fotos/stations/030201 nS.jpg,/pub/fotos/stations/thumbs/030201 nS.jpg,/pub/fotos/stations/030201 nW.jpg,/pub/fotos/stations/thumbs/030201 nW.jpg,,,,,,,,,,
03:0502,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030502 nN.jpg,/pub/fotos/stations/thumbs/030502 nN.jpg,1,Heidenreichstein Thaures,Thaures,Amt der Niederösterreichischen Landesregierung,2.0,HMW,4,EPSG:31287,15.04666667,570,48.8786111,µg/m³,1,/pub/fotos/stations/thumbs/030502 nO.JPG,/pub/fotos/stations/030502 nO.JPG,,,,,,,,,,,,,,
03:1701,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/031701 nN.jpg,/pub/fotos/stations/thumbs/031701 nN.jpg,1,Dunkelsteinerwald - Unterbergern,Unterbergern Bäckerberg,Amt der Niederösterreichischen Landesregierung,3.0,HMW,4,EPSG:31287,15.54583333,320,48.370278,µg/m³,1,/pub/fotos/stations/thumbs/031701 nO.jpg,/pub/fotos/stations/031701 nO.jpg,/pub/fotos/stations/031701 nW.jpg,/pub/fotos/stations/thumbs/031701 nW.jpg,,,,,,,,,,,,
03:2501,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/032501 nN.JPG,/pub/fotos/stations/thumbs/032501 nN.JPG,1,Krems,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",Amt der Niederösterreichischen Landesregierung,4.0,HMW,4,EPSG:31287,15.619166,200,48.40861,µg/m³,1,/pub/fotos/stations/thumbs/032501 nS.jpg,/pub/fotos/stations/032501 nS.jpg,/pub/fotos/stations/032501 nSO.jpg,/pub/fotos/stations/thumbs/032501 nSO.jpg,/pub/fotos/stations/032501 nW.jpg,/pub/fotos/stations/thumbs/032501 nW.jpg,,,,,,,,,,
05:4057,Stickstoffdioxid,5 Aug 2022 22:30:00 GMT+0100,/pub/fotos/stations/054057 nNW.jpg,/pub/fotos/stations/thumbs/054057 nNW.jpg,1,"St. Johann im Pongau, Bezirkshauptmannschaft","Bezirkshauptmannschaft, Hauptstraße 1",Amt der Salzburger Landesregierung,3.0,HMW,4,EPSG:31287,13.205556,620,47.351387,µg/m³,1,/pub/fotos/stations/thumbs/054057 nO.jpg,/pub/fotos/stations/054057 nO.jpg,/pub/fotos/stations/054057 nW.jpg,/pub/fotos/stations/thumbs/054057 nW.jpg,,,,,,,,,,,,
05:5032,Stickstoffdioxid,5 Aug 2022 22:30:00 GMT+0100,/pub/fotos/stations/055032 nO.jpg,/pub/fotos/stations/thumbs/055032 nO.jpg,1,Tamsweg Untere Postgasse,Parkplatz Untere Postgasse 2,Amt der Salzburger Landesregierung,3.0,HMW,4,EPSG:31287,13.80804,1025,47.12566,µg/m³,1,/pub/fotos/stations/thumbs/055032 nSW.JPG,/pub/fotos/stations/055032 nSW.JPG,/pub/fotos/stations/055032 nW.jpg,/pub/fotos/stations/thumbs/055032 nW.jpg,,,,,,,,,,,,
06:118,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/06118 nN.JPG,/pub/fotos/stations/thumbs/06118 nN.JPG,1,"Judenburg, Sportplatz","Stadionstraße, südlich des Sportplatzes",Amt der Steiermärkischen Landesregierung,4.0,HMW,4,EPSG:31287,14.676666666666666,715,47.17833333333333,µg/m³,1,/pub/fotos/stations/thumbs/06118 nNW.JPG,/pub/fotos/stations/06118 nNW.JPG,/pub/fotos/stations/06118 nSO.JPG,/pub/fotos/stations/thumbs/06118 nSO.JPG,/pub/fotos/stations/06118 nSW.JPG,/pub/fotos/stations/thumbs/06118 nSW.JPG,,,,,,,,,,
07:2710,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/072710 nN.JPG,/pub/fotos/stations/thumbs/072710 nN.JPG,1,Heiterwang Ort L355,Ennet der Ach,Amt der Tiroler Landesregierung,5.0,HMW,4,EPSG:31287,10.7441167,985,47.4475972,µg/m³,1,/pub/fotos/stations/thumbs/072710 nO.JPG,/pub/fotos/stations/072710 nO.JPG,/pub/fotos/stations/072710 nS.JPG,/pub/fotos/stations/thumbs/072710 nS.JPG,/pub/fotos/stations/072710 nSW.JPG,/pub/fotos/stations/thumbs/072710 nSW.JPG,/pub/fotos/stations/thumbs/072710 nW.JPG,/pub/fotos/stations/072710 nW.JPG,,,,,,,,
09:SCHA,Stickstoffdioxid,5 Aug 2022 22:00:00 GMT+0100,/pub/fotos/stations/09SCHA nN.JPG,/pub/fotos/stations/thumbs/09SCHA nN.JPG,1,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",Gemeinde Wien - MA22 Umweltschutz,3.0,HMW,4,EPSG:31287,16.301563,319,48.23537,µg/m³,1,/pub/fotos/stations/thumbs/09SCHA nSW.JPG,/pub/fotos/stations/09SCHA nSW.JPG,/pub/fotos/stations/09SCHA nW.JPG,/pub/fotos/stations/thumbs/09SCHA nW.JPG,,,,,,,,,,,,
10:PIL1,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10PIL1 nN.jpg,/pub/fotos/stations/thumbs/10PIL1 nN.jpg,1,Pillersdorf bei Retz,Am Öhlberg,Umweltbundesamt,4.0,HMW,4,EPSG:31287,15.93595,315,48.7212,µg/m³,1,/pub/fotos/stations/thumbs/10PIL1 nONO.jpg,/pub/fotos/stations/10PIL1 nONO.jpg,/pub/fotos/stations/10PIL1 nSO.jpg,/pub/fotos/stations/thumbs/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nW.jpg,/pub/fotos/stations/thumbs/10PIL1 nW.jpg,,,,,,,,,,
10:ZOE2,Stickstoffdioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/10ZOE2 nN.jpg,/pub/fotos/stations/thumbs/10ZOE2 nN.jpg,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt,4.0,HMW,4,EPSG:31287,14.44095,899,47.83828,µg/m³,1,/pub/fotos/stations/thumbs/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nO.jpg,/pub/fotos/stations/10ZOE2 nS.jpg,/pub/fotos/stations/thumbs/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nW.jpg,/pub/fotos/stations/thumbs/10ZOE2 nW.jpg,,,,,,,,,,
03:0302,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030302 nN.JPG,/pub/fotos/stations/thumbs/030302 nN.JPG,1,Stixneusiedl,"Stixneusiedl, Hochbehälter Viehtrift",Amt der Niederösterreichischen Landesregierung,4.0,HMW,5,EPSG:31287,16.675289,235,48.05004,µg/m³,1,/pub/fotos/stations/thumbs/030302 nNW.jpg,/pub/fotos/stations/030302 nNW.jpg,/pub/fotos/stations/030302 nO.jpg,/pub/fotos/stations/thumbs/030302 nO.jpg,/pub/fotos/stations/030302 nS.jpg,/pub/fotos/stations/thumbs/030302 nS.jpg,,,,,,,,,,
