stationid,compname,time,Fotos_0_Link,Fotos_0_Thumb,subzahl,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,FotoAnzahl,meantype,value,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y,unit,valueclass,Fotos_1_Thumb,Fotos_1_Link,Fotos_2_Link,Fotos_2_Thumb,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Link,Fotos_5_Thumb,Fotos_6_Thumb,Fotos_6_Link,Fotos_7_Thumb,Fotos_7_Link,Fotos_8_Thumb,Fotos_8_Link
02:KA71,Schwefeldioxid,6 Aug 2022 00:00:00 GMT+0100,/pub/fotos/stations/02KA71 nN.jpg,/pub/fotos/stations/thumbs/02KA71 nN.jpg,1,Klagenfurt Sterneckstraße,Sterneckstraße (gegenüber Nr. 17),Amt der Kärntner Landesregierung,6.0,HMW,1,EPSG:31287,14.299144444444444,445,46.62661666666667,µg/m³,1,/pub/fotos/stations/thumbs/02KA71 nNO.JPG,/pub/fotos/stations/02KA71 nNO.JPG,/pub/fotos/stations/02KA71 nNW.JPG,/pub/fotos/stations/thumbs/02KA71 nNW.JPG,/pub/fotos/stations/02KA71 nO.jpg,/pub/fotos/stations/thumbs/02KA71 nO.jpg,/pub/fotos/stations/thumbs/02KA71 nS.jpg,/pub/fotos/stations/02KA71 nS.jpg,/pub/fotos/stations/02KA71 nW.jpg,/pub/fotos/stations/thumbs/02KA71 nW.jpg,,,,,,
02:M121,Schwefeldioxid,6 Aug 2022 00:00:00 GMT+0100,/pub/fotos/stations/02M121 nO.JPG,/pub/fotos/stations/thumbs/02M121 nO.JPG,1,Arnoldstein Gailitz Waldsiedlungsstraße,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",Amt der Kärntner Landesregierung,4.0,HMW,1,EPSG:31287,13.70345,574,46.5584,µg/m³,1,/pub/fotos/stations/thumbs/02M121 nS.jpg,/pub/fotos/stations/02M121 nS.jpg,/pub/fotos/stations/02M121 nSO.jpg,/pub/fotos/stations/thumbs/02M121 nSO.jpg,/pub/fotos/stations/02M121 nW.JPG,/pub/fotos/stations/thumbs/02M121 nW.JPG,,,,,,,,,,
02:M226,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/02M226 nN.jpg,/pub/fotos/stations/thumbs/02M226 nN.jpg,1,Ebenthal Zell,Niederdorferstraße 5,Amt der Kärntner Landesregierung,6.0,HMW,1,EPSG:31287,14.39826,420,46.61011,µg/m³,1,/pub/fotos/stations/thumbs/02M226 nO.jpg,/pub/fotos/stations/02M226 nO.jpg,/pub/fotos/stations/02M226 nS.jpg,/pub/fotos/stations/thumbs/02M226 nS.jpg,/pub/fotos/stations/02M226 nSO.JPG,/pub/fotos/stations/thumbs/02M226 nSO.JPG,/pub/fotos/stations/thumbs/02M226 nSW.JPG,/pub/fotos/stations/02M226 nSW.JPG,/pub/fotos/stations/02M226 nW.jpg,/pub/fotos/stations/thumbs/02M226 nW.jpg,,,,,,
02:WO15,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/02WO15 nN.JPG,/pub/fotos/stations/thumbs/02WO15 nN.JPG,1,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",Amt der Kärntner Landesregierung,6.0,HMW,1,EPSG:31287,14.84346,460,46.834975,µg/m³,1,/pub/fotos/stations/thumbs/02WO15 nNO.jpg,/pub/fotos/stations/02WO15 nNO.jpg,/pub/fotos/stations/02WO15 nO.jpg,/pub/fotos/stations/thumbs/02WO15 nO.jpg,/pub/fotos/stations/02WO15 nS.jpg,/pub/fotos/stations/thumbs/02WO15 nS.jpg,/pub/fotos/stations/thumbs/02WO15 nSW.JPG,/pub/fotos/stations/02WO15 nSW.JPG,/pub/fotos/stations/02WO15 nW.jpg,/pub/fotos/stations/thumbs/02WO15 nW.jpg,,,,,,
03:0502,Schwefeldioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/030502 nN.jpg,/pub/fotos/stations/thumbs/030502 nN.jpg,1,Heidenreichstein Thaures,Thaures,Amt der Niederösterreichischen Landesregierung,2.0,HMW,1,EPSG:31287,15.04666667,570,48.8786111,µg/m³,1,/pub/fotos/stations/thumbs/030502 nO.JPG,/pub/fotos/stations/030502 nO.JPG,,,,,,,,,,,,,,
03:1301,Schwefeldioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/031301 nN.jpg,/pub/fotos/stations/thumbs/031301 nN.jpg,1,Mistelbach Steinhübel,Hochbehälter Steinhübel,Amt der Niederösterreichischen Landesregierung,5.0,HMW,1,EPSG:31287,16.5788,250,48.57832,µg/m³,1,/pub/fotos/stations/thumbs/031301 nNO.jpg,/pub/fotos/stations/031301 nNO.jpg,/pub/fotos/stations/031301 nO.JPG,/pub/fotos/stations/thumbs/031301 nO.JPG,/pub/fotos/stations/031301 nS.jpg,/pub/fotos/stations/thumbs/031301 nS.jpg,/pub/fotos/stations/thumbs/031301 nW.jpg,/pub/fotos/stations/031301 nW.jpg,,,,,,,,
03:1701,Schwefeldioxid,5 Aug 2022 21:30:00 GMT+0100,/pub/fotos/stations/031701 nN.jpg,/pub/fotos/stations/thumbs/031701 nN.jpg,1,Dunkelsteinerwald - Unterbergern,Unterbergern Bäckerberg,Amt der Niederösterreichischen Landesregierung,3.0,HMW,1,EPSG:31287,15.54583333,320,48.370278,µg/m³,1,/pub/fotos/stations/thumbs/031701 nO.jpg,/pub/fotos/stations/031701 nO.jpg,/pub/fotos/stations/031701 nW.jpg,/pub/fotos/stations/thumbs/031701 nW.jpg,,,,,,,,,,,,
04:S108,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S108 nN.jpg,/pub/fotos/stations/thumbs/04S108 nN.jpg,1,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,Amt der Oberösterreichischen Landesregierung,5.0,HMW,1,EPSG:31287,14.574722222222,918,48.53111111,µg/m³,1,/pub/fotos/stations/thumbs/04S108 nNO.jpg,/pub/fotos/stations/04S108 nNO.jpg,/pub/fotos/stations/04S108 nO.JPG,/pub/fotos/stations/thumbs/04S108 nO.JPG,/pub/fotos/stations/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nW.JPG,/pub/fotos/stations/04S108 nW.JPG,,,,,,,,
04:S156,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S156 nN.jpg,/pub/fotos/stations/thumbs/04S156 nN.jpg,1,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",Amt der Oberösterreichischen Landesregierung,3.0,HMW,1,EPSG:31287,13.03923,350,48.257474,µg/m³,1,/pub/fotos/stations/thumbs/04S156 nS.JPG,/pub/fotos/stations/04S156 nS.JPG,/pub/fotos/stations/04S156 nW.JPG,/pub/fotos/stations/thumbs/04S156 nW.JPG,,,,,,,,,,,,
04:S409,Schwefeldioxid,6 Aug 2022 00:30:00 GMT+0100,/pub/fotos/stations/04S409 nN.jpg,/pub/fotos/stations/thumbs/04S409 nN.jpg,1,Steyr Münichholz,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",Amt der Oberösterreichischen Landesregierung,5.0,HMW,1,EPSG:31287,14.442777777777777,305,48.04944444444444,µg/m³,1,/pub/fotos/stations/thumbs/04S409 nNO.jpg,/pub/fotos/stations/04S409 nNO.jpg,/pub/fotos/stations/04S409 nO.jpg,/pub/fotos/stations/thumbs/04S409 nO.jpg,/pub/fotos/stations/04S409 nSW.jpg,/pub/fotos/stations/thumbs/04S409 nSW.jpg,/pub/fotos/stations/thumbs/04S409 nW.JPG,/pub/fotos/stations/04S409 nW.JPG,,,,,,,,
