,stationid,unit,compname,time,valueclass,MetaInfo_Name,MetaInfo_Owner,MetaInfo_Location,meantype,gml$Point_srsName,gml$Point_gml$coord_Z,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,value,subzahl
48,06:036,µg/m³,Ozon,1660069800000000000,NOCLASS,Graz Lustbühel,Amt der Steiermärkischen Landesregierung,Observatorium Schloss Lustbühel,HMW,EPSG:31287,473,15.493688888888888,47.067011111111114,100,1
49,06:138,µg/m³,Ozon,1660069800000000000,NOCLASS,Graz Nord Gösting,Amt der Steiermärkischen Landesregierung,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",HMW,EPSG:31287,355,15.4151111111111,47.0943611111,100,1
50,06:194,µg/m³,Ozon,1660068000000000000,NOCLASS,Mürzzuschlag Roseggerpark,Amt der Steiermärkischen Landesregierung,"Roseggerpark, Waldgasse/Roseggergasse",HMW,EPSG:31287,679,15.673055555555555,47.60472222222222,100,1
51,03:0202,µg/m³,Ozon,1660069800000000000,NOCLASS,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,Forsthof am Schöpfl,HMW,EPSG:31287,581,15.9189,48.1051,101,1
52,03:1102,µg/m³,Ozon,1660069800000000000,NOCLASS,"Annaberg, Joachimsberg",Amt der Niederösterreichischen Landesregierung,Joachimsberg Lassingrotte,HMW,EPSG:31287,880,15.32085,47.86144,101,1
53,03:2501,µg/m³,Ozon,1660069800000000000,NOCLASS,Krems,Amt der Niederösterreichischen Landesregierung,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",HMW,EPSG:31287,200,15.619166,48.40861,101,1
54,04:S156,µg/m³,Ozon,1660068000000000000,NOCLASS,"Braunau Zentrum, Kolpingplatz",Amt der Oberösterreichischen Landesregierung,"Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",HMW,EPSG:31287,350,13.03923,48.257474,102,1
55,05:4057,µg/m³,Ozon,1660069800000000000,NOCLASS,"St. Johann im Pongau, Bezirkshauptmannschaft",Amt der Salzburger Landesregierung,"Bezirkshauptmannschaft, Hauptstraße 1",HMW,EPSG:31287,620,13.205556,47.351387,102,1
56,06:156,µg/m³,Ozon,1660069800000000000,NOCLASS,Masenberg,Amt der Steiermärkischen Landesregierung,"Masenberg, Sender oberhalb von Waldhansl",HMW,EPSG:31287,1180,15.882222,47.34806,102,1
57,07:2620,µg/m³,Ozon,1660069800000000000,NOCLASS,St. Anton am Arlberg - Galzig,Amt der Tiroler Landesregierung,"Galzig, A1-Gebäude",HMW,EPSG:31287,2147,10.224811,47.133681,102,1
58,03:1204,µg/m³,Ozon,1660069800000000000,NOCLASS,Pöchlarn,Amt der Niederösterreichischen Landesregierung,"Brunnenschutzgebiet, Donauuferpromenade",HMW,EPSG:31287,216,15.205,48.21275,103,1
59,03:1401,µg/m³,Ozon,1660069800000000000,NOCLASS,Mödling Bachgasse,Amt der Niederösterreichischen Landesregierung,Untere Bachgasse (Park vor Schule),HMW,EPSG:31287,215,16.3022222,48.0861111,103,1
60,03:1901,µg/m³,Ozon,1660069800000000000,NOCLASS,Tulln Leopoldgasse,Amt der Niederösterreichischen Landesregierung,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",HMW,EPSG:31287,178,16.0625,48.329445,103,1
61,03:1903,µg/m³,Ozon,1660069800000000000,NOCLASS,Trasdorf im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,Kaindorfer Straße,HMW,EPSG:31287,192,15.8578,48.331,103,1
62,03:2301,µg/m³,Ozon,1660069800000000000,NOCLASS,St. Pölten Eybnerstraße,Amt der Niederösterreichischen Landesregierung,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",HMW,EPSG:31287,270,15.6325,48.2116,103,1
63,06:179,µg/m³,Ozon,1660069800000000000,NOCLASS,Hartberg Zentrum,Amt der Steiermärkischen Landesregierung,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",HMW,EPSG:31287,349,15.971852,47.28286,103,1
64,07:2123,µg/m³,Ozon,1660069800000000000,NOCLASS,Innsbruck Nordkette (Seegrube),Amt der Tiroler Landesregierung,Grubegg,HMW,EPSG:31287,1958,11.3759972,47.3056222,103,1
65,03:1701,µg/m³,Ozon,1660069800000000000,NOCLASS,Dunkelsteinerwald - Unterbergern,Amt der Niederösterreichischen Landesregierung,Unterbergern Bäckerberg,HMW,EPSG:31287,320,15.54583333,48.370278,104,1
66,03:2101,µg/m³,Ozon,1660068000000000000,NOCLASS,Wiesmath,Amt der Niederösterreichischen Landesregierung,Mäuserriegel,HMW,EPSG:31287,738,16.29305556,47.60833333,104,1
67,03:2701,µg/m³,Ozon,1660069800000000000,NOCLASS,"Schwechat Sportplatz, Mühlgasse",Amt der Niederösterreichischen Landesregierung,"Phönix-Sportplatz, Mühlgasse/Radetzkystraße",HMW,EPSG:31287,155,16.474444444444444,48.144999999999996,104,1
68,06:151,µg/m³,Ozon,1660069800000000000,NOCLASS,Bockberg,Amt der Steiermärkischen Landesregierung,"Bockbergweg, Jöbstl-Arbeiter",HMW,EPSG:31287,449,15.495833333333331,46.87138888888889,104,1
69,02:VL52,µg/m³,Ozon,1660068000000000000,NOCLASS,Gerlitzen Steinturm,Amt der Kärntner Landesregierung,Gerlitzen Steinturm (Gipfelplateau),HMW,EPSG:31287,1897,13.91449,46.6954,105,1
70,03:0301,µg/m³,Ozon,1660069800000000000,NOCLASS,Hainburg Krankenhaus,Amt der Niederösterreichischen Landesregierung,"Parkplatz Bezirkskrankenhaus, Florianistraße",HMW,EPSG:31287,180,16.95787,48.1442,105,1
71,09:JAEG,µg/m³,Ozon,1660069800000000000,NOCLASS,Hermannskogel,Gemeinde Wien - MA22 Umweltschutz,"Hermannskogel, Jägerwiese",HMW,EPSG:31287,488,16.2972,48.2702,105,1
72,05:3055,µg/m³,Ozon,1660069800000000000,NOCLASS,Haunsberg,Amt der Salzburger Landesregierung,SAFE Funkstation Simmerstatt,HMW,EPSG:31287,730,13.0158333,47.936667,106,1
73,07:2705,µg/m³,Ozon,1660069800000000000,NOCLASS,Höfen Lärchbichl,Amt der Tiroler Landesregierung,Höfen Lärchbichlweg,HMW,EPSG:31287,877,10.682283,47.469837,106,1
74,01:0001,µg/m³,Ozon,1660069800000000000,NOCLASS,Eisenstadt Laschoberstraße,Amt der Burgenländischen Landesregierung,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,EPSG:31287,165,16.52617,47.8401138,107,1
75,01:0003,µg/m³,Ozon,1660069800000000000,NOCLASS,Kittsee,Amt der Burgenländischen Landesregierung,Neurisse - Brunnenfeld ,HMW,EPSG:31287,136,17.0703159,48.1091532,107,1
76,03:0302,µg/m³,Ozon,1660069800000000000,NOCLASS,Stixneusiedl,Amt der Niederösterreichischen Landesregierung,"Stixneusiedl, Hochbehälter Viehtrift",HMW,EPSG:31287,235,16.675289,48.05004,107,1
77,03:0601,µg/m³,Ozon,1660069800000000000,NOCLASS,Klosterneuburg Meynertgasse,Amt der Niederösterreichischen Landesregierung,"Meynertgasse, südwestlich vom Wasserhochbehälter",HMW,EPSG:31287,260,16.31395,48.30246,107,1
78,05:1200,µg/m³,Ozon,1660069800000000000,NOCLASS,"Salzburg Lehener Park, Franz Martin-Straße 1",Amt der Salzburger Landesregierung,Franz Martin-Straße 1,HMW,EPSG:31287,420,13.03488,47.81565,107,1
79,06:198,µg/m³,Ozon,1660068000000000000,NOCLASS,Fürstenfeld Ungartorweg,Amt der Steiermärkischen Landesregierung,Hauptschule Schillerplatz 2,HMW,EPSG:31287,276,16.07905,47.04735,107,1
80,07:2113,µg/m³,Ozon,1660069800000000000,NOCLASS,Innsbruck Sadrach,Amt der Tiroler Landesregierung,Sadrach - Buttererbichl,HMW,EPSG:31287,678,11.3746611,47.2699028,107,1
81,07:2547,µg/m³,Ozon,1660069800000000000,NOCLASS,Kufstein Festung,Amt der Tiroler Landesregierung,Festung,HMW,EPSG:31287,526,12.1692472,47.5805278,107,1
82,02:KA41,µg/m³,Ozon,1660068000000000000,NOCLASS,Klagenfurt Kreuzbergl,Amt der Kärntner Landesregierung,Sternwarte Kreuzbergl,HMW,EPSG:31287,550,14.28931,46.62936,108,1
83,02:WO35,µg/m³,Ozon,1660068000000000000,NOCLASS,St. Georgen im Lavanttal - Herzogberg,Amt der Kärntner Landesregierung,Herzogberg,HMW,EPSG:31287,540,14.891667,46.708333,108,1
84,03:0201,µg/m³,Ozon,1660069800000000000,NOCLASS,"Bad Vöslau, Gainfarn",Amt der Niederösterreichischen Landesregierung,"Kottingbrunner Straße, Gymnasium Gainfarn, Sportplatz",HMW,EPSG:31287,265,16.20573,47.9592,108,1
85,03:0401,µg/m³,Ozon,1660069800000000000,NOCLASS,Gänserndorf Baumschulweg,Amt der Niederösterreichischen Landesregierung,Baumschulweg,HMW,EPSG:31287,161,16.729445,48.33472,108,1
86,03:0403,µg/m³,Ozon,1660069800000000000,NOCLASS,Wolkersdorf,Amt der Niederösterreichischen Landesregierung,Hochbehälter Breitenkreuz,HMW,EPSG:31287,260,16.522,48.3929,108,1
87,03:0603,µg/m³,Ozon,1660069800000000000,NOCLASS,"Himberg, Alter Markt",Amt der Niederösterreichischen Landesregierung,Am Alten Markt - Institutgasse,HMW,EPSG:31287,172,16.4311,48.0857,108,1
88,03:1502,µg/m³,Ozon,1660069800000000000,NOCLASS,Payerbach - Kreuzberg,Amt der Niederösterreichischen Landesregierung,"Kreuzberg, Althammerhofstraße, Coronakreuz",HMW,EPSG:31287,890,15.860277778,47.67027778,108,1
89,04:S407,µg/m³,Ozon,1660069800000000000,NOCLASS,"Vöcklabruck, Untere Agergasse",Amt der Oberösterreichischen Landesregierung,Untere Agergasse 14,HMW,EPSG:31287,420,13.6676111,48.0008965,108,1
90,09:LOB,µg/m³,Ozon,1660069800000000000,NOCLASS,Lobau,Gemeinde Wien - MA22 Umweltschutz,Lobau Grundwasserwerk,HMW,EPSG:31287,155,16.5256138888889,48.1620694444444,108,1
91,01:0004,µg/m³,Ozon,1660069800000000000,NOCLASS,Bad Sauerbrunn,Amt der Burgenländischen Landesregierung,Freiwillige Feuerwehr,HMW,EPSG:31287,254,16.32875,47.77907,109,1
92,06:195,µg/m³,Ozon,1660068000000000000,NOCLASS,Deutschlandsberg Rathausgasse,Amt der Steiermärkischen Landesregierung,"Rathausgasse 3, Arbeiterkammer",HMW,EPSG:31287,365,15.212777777777777,46.81388888888888,109,1
93,07:2530,µg/m³,Ozon,1660069800000000000,NOCLASS,Wörgl Stelzhamerstraße,Amt der Tiroler Landesregierung,Josef Stelzhamer-Straße / Joseph Haydn-Straße 4,HMW,EPSG:31287,508,12.066633,47.4885583,109,1
94,07:2538,µg/m³,Ozon,1660069800000000000,NOCLASS,Kramsach Angerberg,Amt der Tiroler Landesregierung,"Voldöp, Angerberg",HMW,EPSG:31287,602,11.90995,47.458717,110,1
95,07:2710,µg/m³,Ozon,1660069800000000000,NOCLASS,Heiterwang Ort L355,Amt der Tiroler Landesregierung,Ennet der Ach,HMW,EPSG:31287,985,10.7441167,47.4475972,110,1
96,08:2801,µg/m³,Ozon,1660068000000000000,NOCLASS,Wald am Arlberg S16,Umweltinstitut des Landes Vorarlberg,"Außerwald, Arlbergstraße",HMW,EPSG:31287,940,10.034324,47.128863,110,1
97,09:ZA,µg/m³,Ozon,1660069800000000000,NOCLASS,Hohe Warte,Gemeinde Wien - MA22 Umweltschutz,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",HMW,EPSG:31287,210,16.357079,48.248993,110,1
98,10:ILL1,µg/m³,Ozon,1660069800000000000,NOCLASS,Illmitz am Neusiedler See,Umweltbundesamt,Biologische Station Illmitz,HMW,EPSG:31287,117,16.76639,47.77028,110,1
99,09:LIES,µg/m³,Ozon,1660069800000000000,NOCLASS,Liesing - Carlberger-Gasse Gewerbegebiet,Gemeinde Wien - MA22 Umweltschutz,"Carlberger-Gasse 69 (Gst. Nr. 273/11, KG Erlaa)",HMW,EPSG:31287,211,16.30127778,48.14125,111,1
100,03:2401,µg/m³,Ozon,1660069800000000000,NOCLASS,Wiener Neustadt,Amt der Niederösterreichischen Landesregierung,Neuklosterwiese Sportplatz,HMW,EPSG:31287,265,16.255,47.81416667,112,1
101,04:S406,µg/m³,Ozon,1660069800000000000,NOCLASS,Wels Linzerstraße,Amt der Oberösterreichischen Landesregierung,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",HMW,EPSG:31287,316,14.0366,48.1649,112,1
102,01:0002,µg/m³,Ozon,1660069800000000000,NOCLASS,Oberschützen,Amt der Burgenländischen Landesregierung,"Schützenstraße 85, Wirtschaftshof der Gemeinde ",HMW,EPSG:31287,344,16.207863,47.339926,113,1
103,03:1301,µg/m³,Ozon,1660069800000000000,NOCLASS,Mistelbach Steinhübel,Amt der Niederösterreichischen Landesregierung,Hochbehälter Steinhübel,HMW,EPSG:31287,250,16.5788,48.57832,113,1
104,06:185,µg/m³,Ozon,1660069800000000000,NOCLASS,Klöch bei Bad Radkersburg,Amt der Steiermärkischen Landesregierung,"Seindl, Dissay-Weg",HMW,EPSG:31287,415,15.956111,46.7675,113,1
105,08:0706,µg/m³,Ozon,1660068000000000000,NOCLASS,Lustenau Wiesenrain,Umweltinstitut des Landes Vorarlberg,Wiesenrainstraße 26; 50m vom Zollamt Philipp Krapf-Str.,HMW,EPSG:31287,410,9.653713,47.410164,113,1
106,08:0503,µg/m³,Ozon,1660068000000000000,NOCLASS,Sulzberg - Gmeind,Umweltinstitut des Landes Vorarlberg,Gmeind,HMW,EPSG:31287,1020,9.9267,47.5292,114,1
107,05:2100,µg/m³,Ozon,1660069800000000000,NOCLASS,Hallein Winterstall,Amt der Salzburger Landesregierung,Winterstallstraße,HMW,EPSG:31287,650,13.106,47.667,116,1
108,08:2708,µg/m³,Ozon,1660068000000000000,NOCLASS,Bludenz Herrengasse,Umweltinstitut des Landes Vorarlberg,Herrengasse 10 (L190: 110m),HMW,EPSG:31287,580,9.822944,47.156483,116,1
109,06:190,µg/m³,Ozon,1660068000000000000,NOCLASS,Arnfels - Remschnigg,Amt der Steiermärkischen Landesregierung,"Steirischer Possruck, Remschnigg, Isaak",HMW,EPSG:31287,785,15.36778,46.65195,119,1
0,10:SON1,µg/m³,Stickstoffdioxid,1660069800000000000,1,Sonnblick,Umweltbundesamt,Wetterobservatorium Hoher Sonnblick,HMW,EPSG:31287,3106,12.9583,47.0541667,0,2
1,01:0003,µg/m³,Stickstoffdioxid,1660069800000000000,1,Kittsee,Amt der Burgenländischen Landesregierung,Neurisse - Brunnenfeld ,HMW,EPSG:31287,136,17.0703159,48.1091532,1,1
2,01:0004,µg/m³,Stickstoffdioxid,1660069800000000000,1,Bad Sauerbrunn,Amt der Burgenländischen Landesregierung,Freiwillige Feuerwehr,HMW,EPSG:31287,254,16.32875,47.77907,1,1
3,02:WO35,µg/m³,Stickstoffdioxid,1660068000000000000,1,St. Georgen im Lavanttal - Herzogberg,Amt der Kärntner Landesregierung,Herzogberg,HMW,EPSG:31287,540,14.891667,46.708333,1,1
4,03:0201,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Bad Vöslau, Gainfarn",Amt der Niederösterreichischen Landesregierung,"Kottingbrunner Straße, Gymnasium Gainfarn, Sportplatz",HMW,EPSG:31287,265,16.20573,47.9592,1,1
5,03:1502,µg/m³,Stickstoffdioxid,1660069800000000000,1,Payerbach - Kreuzberg,Amt der Niederösterreichischen Landesregierung,"Kreuzberg, Althammerhofstraße, Coronakreuz",HMW,EPSG:31287,890,15.860277778,47.67027778,1,1
6,03:1902,µg/m³,Stickstoffdioxid,1660069800000000000,1,Zwentendorf im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,"Zwentendorf, Lindenplatz Freiwillige Feuerwehr Zwentendorf",HMW,EPSG:31287,200,15.90706,48.34509,1,1
7,03:1905,µg/m³,Stickstoffdioxid,1660069800000000000,1,Neusiedl im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,Neusiedl im Tullnerfeld,HMW,EPSG:31287,182,15.96666667,48.32222222,1,1
8,06:141,µg/m³,Stickstoffdioxid,1660069800000000000,1,Leoben Göss,Amt der Steiermärkischen Landesregierung,"Mayr-Melnhof-Straße, Südende, Kindergarten, Pz.Nr. 503/49 ",HMW,EPSG:31287,554,15.10361111111111,47.35888888888889,1,1
9,06:145,µg/m³,Stickstoffdioxid,1660069800000000000,1,Kapfenberg St. Martin,Amt der Steiermärkischen Landesregierung,"St. Martin, Anton Buchalka-Straße 13, Ecke Friedhofweg",HMW,EPSG:31287,517,15.29032,47.44583333333333,1,1
10,06:151,µg/m³,Stickstoffdioxid,1660068000000000000,1,Bockberg,Amt der Steiermärkischen Landesregierung,"Bockbergweg, Jöbstl-Arbeiter",HMW,EPSG:31287,449,15.495833333333331,46.87138888888889,1,1
11,06:191,µg/m³,Stickstoffdioxid,1660069800000000000,1,Gratwein,Amt der Steiermärkischen Landesregierung,Aufeldstraße,HMW,EPSG:31287,382,15.3232,47.1357,1,1
12,02:F202,µg/m³,Stickstoffdioxid,1660068000000000000,1,Klein St. Paul - Pemberg,Amt der Kärntner Landesregierung,Pemberg,HMW,EPSG:31287,810,14.52998,46.84283,2,1
13,03:0202,µg/m³,Stickstoffdioxid,1660069800000000000,1,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,Forsthof am Schöpfl,HMW,EPSG:31287,581,15.9189,48.1051,2,1
14,03:0302,µg/m³,Stickstoffdioxid,1660069800000000000,1,Stixneusiedl,Amt der Niederösterreichischen Landesregierung,"Stixneusiedl, Hochbehälter Viehtrift",HMW,EPSG:31287,235,16.675289,48.05004,2,1
15,03:1901,µg/m³,Stickstoffdioxid,1660069800000000000,1,Tulln Leopoldgasse,Amt der Niederösterreichischen Landesregierung,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",HMW,EPSG:31287,178,16.0625,48.329445,2,1
16,03:2301,µg/m³,Stickstoffdioxid,1660069800000000000,1,St. Pölten Eybnerstraße,Amt der Niederösterreichischen Landesregierung,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",HMW,EPSG:31287,270,15.6325,48.2116,2,1
17,03:2604,µg/m³,Stickstoffdioxid,1660069800000000000,1,Kematen an der Ybbs,Amt der Niederösterreichischen Landesregierung,Gimpersdorf,HMW,EPSG:31287,330,14.772277777777779,48.04511111111111,2,1
18,04:S108,µg/m³,Stickstoffdioxid,1660069800000000000,1,Grünbach bei Freistadt,Amt der Oberösterreichischen Landesregierung,Oberrauchenödt Kirche St. Michael,HMW,EPSG:31287,918,14.574722222222,48.53111111,2,1
19,04:S156,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Braunau Zentrum, Kolpingplatz",Amt der Oberösterreichischen Landesregierung,"Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",HMW,EPSG:31287,350,13.03923,48.257474,2,1
20,04:S407,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Vöcklabruck, Untere Agergasse",Amt der Oberösterreichischen Landesregierung,Untere Agergasse 14,HMW,EPSG:31287,420,13.6676111,48.0008965,2,1
21,05:3055,µg/m³,Stickstoffdioxid,1660069800000000000,1,Haunsberg,Amt der Salzburger Landesregierung,SAFE Funkstation Simmerstatt,HMW,EPSG:31287,730,13.0158333,47.936667,2,1
22,06:107,µg/m³,Stickstoffdioxid,1660069800000000000,1,Voitsberg Mühlgasse,Amt der Steiermärkischen Landesregierung,"Mühlgasse, Ecke Franz Josef-Straße",HMW,EPSG:31287,390,15.152777777777778,47.04472222222222,2,1
23,06:136,µg/m³,Stickstoffdioxid,1660068000000000000,1,Judendorf Süd,Amt der Steiermärkischen Landesregierung,"Ringsiedlung, Murufer",HMW,EPSG:31287,375,15.351111111111,47.12027777778,2,1
24,06:138,µg/m³,Stickstoffdioxid,1660069800000000000,1,Graz Nord Gösting,Amt der Steiermärkischen Landesregierung,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",HMW,EPSG:31287,355,15.4151111111111,47.0943611111,2,1
25,06:142,µg/m³,Stickstoffdioxid,1660069800000000000,1,Leoben Donawitz Kindergarten,Amt der Steiermärkischen Landesregierung,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),HMW,EPSG:31287,555,15.0745,47.37555555555556,2,1
26,06:143,µg/m³,Stickstoffdioxid,1660069800000000000,1,Leoben Zentrum,Amt der Steiermärkischen Landesregierung,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",HMW,EPSG:31287,543,15.0889,47.3823,2,1
27,06:156,µg/m³,Stickstoffdioxid,1660069800000000000,1,Masenberg,Amt der Steiermärkischen Landesregierung,"Masenberg, Sender oberhalb von Waldhansl",HMW,EPSG:31287,1180,15.882222,47.34806,2,1
28,06:177,µg/m³,Stickstoffdioxid,1660069800000000000,1,Liezen Pyhrnbach,Amt der Steiermärkischen Landesregierung,Alte Gasse 12,HMW,EPSG:31287,649,14.244676,47.565439,2,1
29,06:180,µg/m³,Stickstoffdioxid,1660069800000000000,1,Bruck an der Mur Flurgasse,Amt der Steiermärkischen Landesregierung,"Flurgasse 2, Ecke Oberdorfer Straße",HMW,EPSG:31287,485,15.253333,47.409443,2,1
30,06:194,µg/m³,Stickstoffdioxid,1660069800000000000,1,Mürzzuschlag Roseggerpark,Amt der Steiermärkischen Landesregierung,"Roseggerpark, Waldgasse/Roseggergasse",HMW,EPSG:31287,679,15.673055555555555,47.60472222222222,2,1
31,08:0503,µg/m³,Stickstoffdioxid,1660068000000000000,1,Sulzberg - Gmeind,Umweltinstitut des Landes Vorarlberg,Gmeind,HMW,EPSG:31287,1020,9.9267,47.5292,2,1
32,09:JAEG,µg/m³,Stickstoffdioxid,1660069800000000000,1,Hermannskogel,Gemeinde Wien - MA22 Umweltschutz,"Hermannskogel, Jägerwiese",HMW,EPSG:31287,488,16.2972,48.2702,2,1
33,10:VOR1,µg/m³,Stickstoffdioxid,1660069800000000000,1,Vorhegg bei Kötschach-Mauthen,Umweltbundesamt,"Kreuth 8b, Josef Zobernig",HMW,EPSG:31287,1010,12.972,46.6775,2,1
34,10:ZOE2,µg/m³,Stickstoffdioxid,1660069800000000000,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",HMW,EPSG:31287,899,14.44095,47.83828,2,1
35,10:ZOE2,µg/m³,Stickstoffdioxid,1660069800000000000,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",HMW,EPSG:31287,899,14.44095,47.83828,2,2
36,03:0101,µg/m³,Stickstoffdioxid,1660068000000000000,1,Amstetten,Amt der Niederösterreichischen Landesregierung,"Anzengruberstraße, Parkplatz vor der Schule",HMW,EPSG:31287,270,14.8788,48.1199,3,1
37,03:0407,µg/m³,Stickstoffdioxid,1660069800000000000,1,Groß-Enzersdorf - Glinzendorf,Amt der Niederösterreichischen Landesregierung,L3010 zwischen Glinzendorf und Rutzendorf,HMW,EPSG:31287,150,16.63638889,48.230833333,3,1
38,03:0502,µg/m³,Stickstoffdioxid,1660069800000000000,1,Heidenreichstein Thaures,Amt der Niederösterreichischen Landesregierung,Thaures,HMW,EPSG:31287,570,15.04666667,48.8786111,3,1
39,03:0601,µg/m³,Stickstoffdioxid,1660069800000000000,1,Klosterneuburg Meynertgasse,Amt der Niederösterreichischen Landesregierung,"Meynertgasse, südwestlich vom Wasserhochbehälter",HMW,EPSG:31287,260,16.31395,48.30246,3,1
40,03:1903,µg/m³,Stickstoffdioxid,1660069800000000000,1,Trasdorf im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,Kaindorfer Straße,HMW,EPSG:31287,192,15.8578,48.331,3,1
41,03:2401,µg/m³,Stickstoffdioxid,1660069800000000000,1,Wiener Neustadt,Amt der Niederösterreichischen Landesregierung,Neuklosterwiese Sportplatz,HMW,EPSG:31287,265,16.255,47.81416667,3,1
42,04:S125,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Bad Ischl, Rettenbachwaldstraße",Amt der Oberösterreichischen Landesregierung,Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),HMW,EPSG:31287,460,13.632222222222223,47.71611111111111,3,1
43,04:S409,µg/m³,Stickstoffdioxid,1660069800000000000,1,Steyr Münichholz,Amt der Oberösterreichischen Landesregierung,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",HMW,EPSG:31287,305,14.442777777777777,48.04944444444444,3,1
44,05:2100,µg/m³,Stickstoffdioxid,1660069800000000000,1,Hallein Winterstall,Amt der Salzburger Landesregierung,Winterstallstraße,HMW,EPSG:31287,650,13.106,47.667,3,1
45,05:5019,µg/m³,Stickstoffdioxid,1660069800000000000,1,Zederhaus Lamm,Amt der Salzburger Landesregierung,Zederhaus Lamm,HMW,EPSG:31287,1140,13.54318,47.13378,3,1
46,06:106,µg/m³,Stickstoffdioxid,1660069800000000000,1,Köflach,Amt der Steiermärkischen Landesregierung,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",HMW,EPSG:31287,445,15.086667,47.06333,3,1
47,06:114,µg/m³,Stickstoffdioxid,1660069800000000000,1,Zeltweg Hauptschule,Amt der Steiermärkischen Landesregierung,"Feldgasse, Hauptschule",HMW,EPSG:31287,675,14.753333,47.1925,3,1
48,06:118,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Judenburg, Sportplatz",Amt der Steiermärkischen Landesregierung,"Stadionstraße, südlich des Sportplatzes",HMW,EPSG:31287,715,14.676666666666666,47.17833333333333,3,1
49,06:179,µg/m³,Stickstoffdioxid,1660069800000000000,1,Hartberg Zentrum,Amt der Steiermärkischen Landesregierung,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",HMW,EPSG:31287,349,15.971852,47.28286,3,1
50,07:2912,µg/m³,Stickstoffdioxid,1660069800000000000,1,"Lienz Tristacher-See-Straße, Tiefbrunnen ",Amt der Tiroler Landesregierung,"Tristacher-See-Straße, Tiefbrunnen",HMW,EPSG:31287,681,12.766025,46.8191111,3,1
51,09:LOB,µg/m³,Stickstoffdioxid,1660069800000000000,1,Lobau,Gemeinde Wien - MA22 Umweltschutz,Lobau Grundwasserwerk,HMW,EPSG:31287,155,16.5256138888889,48.1620694444444,3,1
52,09:SCHA,µg/m³,Stickstoffdioxid,1660069800000000000,1,Schafberg,Gemeinde Wien - MA22 Umweltschutz,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",HMW,EPSG:31287,319,16.301563,48.23537,3,1
53,09:ZA,µg/m³,Stickstoffdioxid,1660069800000000000,1,Hohe Warte,Gemeinde Wien - MA22 Umweltschutz,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",HMW,EPSG:31287,210,16.357079,48.248993,3,1
54,10:ENK1,µg/m³,Stickstoffdioxid,1660069800000000000,1,Enzenkirchen im Sauwald,Umweltbundesamt,"Kriegen, Kapelle",HMW,EPSG:31287,525,13.67085,48.39167,3,1
55,10:ILL1,µg/m³,Stickstoffdioxid,1660069800000000000,1,Illmitz am Neusiedler See,Umweltbundesamt,Biologische Station Illmitz,HMW,EPSG:31287,117,16.76639,47.77028,3,1
56,10:PIL1,µg/m³,Stickstoffdioxid,1660069800000000000,1,Pillersdorf bei Retz,Umweltbundesamt,Am Öhlberg,HMW,EPSG:31287,315,15.93595,48.7212,3,1
57,01:0002,µg/m³,Stickstoffdioxid,1660069800000000000,1,Oberschützen,Amt der Burgenländischen Landesregierung,"Schützenstraße 85, Wirtschaftshof der Gemeinde ",HMW,EPSG:31287,344,16.207863,47.339926,4,1
