,stationid,unit,compname,time,valueclass,MetaInfo_Name,MetaInfo_Owner,MetaInfo_Location,meantype,gml$Point_srsName,gml$Point_gml$coord_Z,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,value,subzahl
26,06:190,µg/m³,Schwefeldioxid,1660069800000000000,1,Arnfels - Remschnigg,Amt der Steiermärkischen Landesregierung,"Steirischer Possruck, Remschnigg, Isaak",HMW,EPSG:31287,785,15.36778,46.65195,1,1
27,07:2110,µg/m³,Schwefeldioxid,1660069800000000000,1,Innsbruck Zentrum - Fallmerayerstraße,Amt der Tiroler Landesregierung,Fallmerayerstraße Ecke Maximilianstrasse,HMW,EPSG:31287,577,11.3923611,47.2626194,1,1
28,07:2519,µg/m³,Schwefeldioxid,1660069800000000000,1,Brixlegg Innweg,Amt der Tiroler Landesregierung,"Innweg, nördöstlich Gebäude Innweg 16 a",HMW,EPSG:31287,519,11.8718028,47.4285528,1,1
29,10:ENK1,µg/m³,Schwefeldioxid,1660068000000000000,1,Enzenkirchen im Sauwald,Umweltbundesamt,"Kriegen, Kapelle",HMW,EPSG:31287,525,13.67085,48.39167,1,1
30,10:PIL1,µg/m³,Schwefeldioxid,1660069800000000000,1,Pillersdorf bei Retz,Umweltbundesamt,Am Öhlberg,HMW,EPSG:31287,315,15.93595,48.7212,1,1
31,02:F202,µg/m³,Schwefeldioxid,1660068000000000000,1,Klein St. Paul - Pemberg,Amt der Kärntner Landesregierung,Pemberg,HMW,EPSG:31287,810,14.52998,46.84283,2,1
32,02:WO35,µg/m³,Schwefeldioxid,1660068000000000000,1,St. Georgen im Lavanttal - Herzogberg,Amt der Kärntner Landesregierung,Herzogberg,HMW,EPSG:31287,540,14.891667,46.708333,2,1
33,03:0601,µg/m³,Schwefeldioxid,1660069800000000000,1,Klosterneuburg Meynertgasse,Amt der Niederösterreichischen Landesregierung,"Meynertgasse, südwestlich vom Wasserhochbehälter",HMW,EPSG:31287,260,16.31395,48.30246,2,1
34,03:0801,µg/m³,Schwefeldioxid,1660069800000000000,1,Irnfritz - Rothweinsdorf,Amt der Niederösterreichischen Landesregierung,Rothweinsdorf,HMW,EPSG:31287,556,15.49842,48.72421,2,1
35,03:1301,µg/m³,Schwefeldioxid,1660069800000000000,1,Mistelbach Steinhübel,Amt der Niederösterreichischen Landesregierung,Hochbehälter Steinhübel,HMW,EPSG:31287,250,16.5788,48.57832,2,1
36,03:1401,µg/m³,Schwefeldioxid,1660069800000000000,1,Mödling Bachgasse,Amt der Niederösterreichischen Landesregierung,Untere Bachgasse (Park vor Schule),HMW,EPSG:31287,215,16.3022222,48.0861111,2,1
37,03:1502,µg/m³,Schwefeldioxid,1660069800000000000,1,Payerbach - Kreuzberg,Amt der Niederösterreichischen Landesregierung,"Kreuzberg, Althammerhofstraße, Coronakreuz",HMW,EPSG:31287,890,15.860277778,47.67027778,2,1
38,03:1701,µg/m³,Schwefeldioxid,1660069800000000000,1,Dunkelsteinerwald - Unterbergern,Amt der Niederösterreichischen Landesregierung,Unterbergern Bäckerberg,HMW,EPSG:31287,320,15.54583333,48.370278,2,1
39,03:1901,µg/m³,Schwefeldioxid,1660069800000000000,1,Tulln Leopoldgasse,Amt der Niederösterreichischen Landesregierung,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",HMW,EPSG:31287,178,16.0625,48.329445,2,1
40,03:1903,µg/m³,Schwefeldioxid,1660055400000000000,1,Trasdorf im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,Kaindorfer Straße,HMW,EPSG:31287,192,15.8578,48.331,2,1
41,03:2401,µg/m³,Schwefeldioxid,1660069800000000000,1,Wiener Neustadt,Amt der Niederösterreichischen Landesregierung,Neuklosterwiese Sportplatz,HMW,EPSG:31287,265,16.255,47.81416667,2,1
42,04:S156,µg/m³,Schwefeldioxid,1660069800000000000,1,"Braunau Zentrum, Kolpingplatz",Amt der Oberösterreichischen Landesregierung,"Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",HMW,EPSG:31287,350,13.03923,48.257474,2,1
43,04:S173,µg/m³,Schwefeldioxid,1660069800000000000,1,"Steyregg Au, Freizeitpark",Amt der Oberösterreichischen Landesregierung,"Altau, Freizeitpark, Am See 2",HMW,EPSG:31287,250,14.3665,48.27975,2,1
44,04:S406,µg/m³,Schwefeldioxid,1660069800000000000,1,Wels Linzerstraße,Amt der Oberösterreichischen Landesregierung,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",HMW,EPSG:31287,316,14.0366,48.1649,2,1
45,05:1200,µg/m³,Schwefeldioxid,1660069800000000000,1,"Salzburg Lehener Park, Franz Martin-Straße 1",Amt der Salzburger Landesregierung,Franz Martin-Straße 1,HMW,EPSG:31287,420,13.03488,47.81565,2,1
46,06:156,µg/m³,Schwefeldioxid,1660069800000000000,1,Masenberg,Amt der Steiermärkischen Landesregierung,"Masenberg, Sender oberhalb von Waldhansl",HMW,EPSG:31287,1180,15.882222,47.34806,2,1
47,06:164,µg/m³,Schwefeldioxid,1660069800000000000,1,Graz Don Bosco,Amt der Steiermärkischen Landesregierung,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",HMW,EPSG:31287,358,15.416603,47.055611,2,1
48,06:179,µg/m³,Schwefeldioxid,1660069800000000000,1,Hartberg Zentrum,Amt der Steiermärkischen Landesregierung,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",HMW,EPSG:31287,349,15.971852,47.28286,2,1
49,06:191,µg/m³,Schwefeldioxid,1660069800000000000,1,Gratwein,Amt der Steiermärkischen Landesregierung,Aufeldstraße,HMW,EPSG:31287,382,15.3232,47.1357,2,1
50,09:SCHA,µg/m³,Schwefeldioxid,1660069800000000000,1,Schafberg,Gemeinde Wien - MA22 Umweltschutz,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",HMW,EPSG:31287,319,16.301563,48.23537,2,1
51,09:STAD,µg/m³,Schwefeldioxid,1660069800000000000,1,Stadlau,Gemeinde Wien - MA22 Umweltschutz,"Hausgrundweg 23, Gstr. 254/1",HMW,EPSG:31287,159,16.458345,48.226360833333,2,1
52,01:0001,µg/m³,Schwefeldioxid,1660069800000000000,1,Eisenstadt Laschoberstraße,Amt der Burgenländischen Landesregierung,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,EPSG:31287,165,16.52617,47.8401138,3,1
53,03:0301,µg/m³,Schwefeldioxid,1660069800000000000,1,Hainburg Krankenhaus,Amt der Niederösterreichischen Landesregierung,"Parkplatz Bezirkskrankenhaus, Florianistraße",HMW,EPSG:31287,180,16.95787,48.1442,3,1
54,03:2301,µg/m³,Schwefeldioxid,1660069800000000000,1,St. Pölten Eybnerstraße,Amt der Niederösterreichischen Landesregierung,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",HMW,EPSG:31287,270,15.6325,48.2116,3,1
55,03:2701,µg/m³,Schwefeldioxid,1660069800000000000,1,"Schwechat Sportplatz, Mühlgasse",Amt der Niederösterreichischen Landesregierung,"Phönix-Sportplatz, Mühlgasse/Radetzkystraße",HMW,EPSG:31287,155,16.474444444444444,48.144999999999996,3,1
56,04:S415,µg/m³,Schwefeldioxid,1660069800000000000,1,Linz 24er Turm A7,Amt der Oberösterreichischen Landesregierung,Heilhammerweg 54 (nahe VÖEST-Brücke der Autobahn),HMW,EPSG:31287,255,14.2977778,48.323333,3,1
57,05:2100,µg/m³,Schwefeldioxid,1660069800000000000,1,Hallein Winterstall,Amt der Salzburger Landesregierung,Winterstallstraße,HMW,EPSG:31287,650,13.106,47.667,3,1
58,09:A23,µg/m³,Schwefeldioxid,1660069800000000000,1,A23 Südosttangente/Wehlistraße,Gemeinde Wien - MA22 Umweltschutz,"Wehlistraße 366, Gstr.Nr.2157/250",HMW,EPSG:31287,162,16.43455,48.20306,3,1
59,09:KE,µg/m³,Schwefeldioxid,1660069800000000000,1,Kaiser-Ebersdorf,Gemeinde Wien - MA22 Umweltschutz,"Kaiserebersdorf, Alberner Straße 8 (Umspannwerk) (A4 160m)",HMW,EPSG:31287,158,16.476051,48.156708,3,1
60,09:STEF,µg/m³,Schwefeldioxid,1660069800000000000,1,Stephansplatz,Gemeinde Wien - MA22 Umweltschutz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",HMW,EPSG:31287,172,16.3732536111111,48.20815,3,1
61,09:ZA,µg/m³,Schwefeldioxid,1660069800000000000,1,Hohe Warte,Gemeinde Wien - MA22 Umweltschutz,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",HMW,EPSG:31287,210,16.357079,48.248993,3,1
