,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
4032,06:142,Kohlenmonoxid,1659927600,Amt der Steiermärkischen Landesregierung,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,15.0745,555.0,47.37555555555556
4033,06:164,Kohlenmonoxid,1659927600,Amt der Steiermärkischen Landesregierung,Graz Don Bosco,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,15.416603,358.0,47.055611
4034,06:170,Kohlenmonoxid,1659927600,Amt der Steiermärkischen Landesregierung,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,15.43308,345.0,47.04172
4035,06:172,Kohlenmonoxid,1659927600,Amt der Steiermärkischen Landesregierung,Graz Mitte Gries,Platz der Freiwilligen Schützen,HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,15.431945,366.0,47.06924
4036,09:MBA,Kohlenmonoxid,1659927600,Gemeinde Wien - MA22 Umweltschutz,Hietzinger Kai,"Hietzinger Kai 1-3, Magistratisches Bezirksamt XIII, XIV",HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,16.3000202777778,194.0,48.1883725
4037,10:ILL1,Kohlenmonoxid,1659927600,Umweltbundesamt,Illmitz am Neusiedler See,Biologische Station Illmitz,HMW,1,0.1,NOCLASS,mg/m³,EPSG:31287,16.76639,117.0,47.77028
4038,04:S416,Kohlenmonoxid,1659927600,Amt der Oberösterreichischen Landesregierung,Linz Neue Welt,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,1,0.2,NOCLASS,mg/m³,EPSG:31287,14.31479,265.0,48.27329
4039,09:A23,Kohlenmonoxid,1659927600,Gemeinde Wien - MA22 Umweltschutz,A23 Südosttangente/Wehlistraße,"Wehlistraße 366, Gstr.Nr.2157/250",HMW,1,0.2,NOCLASS,mg/m³,EPSG:31287,16.43455,162.0,48.20306
4040,09:TAB,Kohlenmonoxid,1659927600,Gemeinde Wien - MA22 Umweltschutz,Taborstraße,Ecke Taborstraße - Glockengasse,HMW,1,0.2,NOCLASS,mg/m³,EPSG:31287,16.3809180555556,162.0,48.2167394444444
4041,06:119,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Knittelfeld Parkstraße,"Parkstraße, Pestalozzistraße",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,14.825277777777778,635.0,47.21037
4042,06:170,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,15.43308,345.0,47.04172
4043,06:195,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Deutschlandsberg Rathausgasse,"Rathausgasse 3, Arbeiterkammer",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,15.212777777777776,365.0,46.81388888888888
4044,10:ZOE2,Feinstaub (PM10),1659927600,Umweltbundesamt,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",HMW,2,6.0,NOCLASS,µg/m³,EPSG:31287,14.44095,899.0,47.83828
4045,06:156,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Masenberg,"Masenberg, Sender oberhalb von Waldhansl",HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,15.882222,1180.0,47.34806
4046,09:TAB,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Taborstraße,Ecke Taborstraße - Glockengasse,HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,16.3809180555556,162.0,48.2167394444444
4047,10:PIL1,Feinstaub (PM10),1659927600,Umweltbundesamt,Pillersdorf bei Retz,Am Öhlberg,HMW,2,7.0,NOCLASS,µg/m³,EPSG:31287,15.93595,315.0,48.7212
4048,01:0002,Feinstaub (PM10),1659927600,Amt der Burgenländischen Landesregierung,Oberschützen,"Schützenstraße 85, Wirtschaftshof der Gemeinde ",HMW,1,8.0,NOCLASS,µg/m³,EPSG:31287,16.207863,344.0,47.339926
4049,04:S108,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,HMW,2,8.0,NOCLASS,µg/m³,EPSG:31287,14.574722222222,918.0,48.53111111
4050,04:S125,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),HMW,2,8.0,NOCLASS,µg/m³,EPSG:31287,13.632222222222223,460.0,47.71611111111111
4051,06:191,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Gratwein,Aufeldstraße,HMW,1,8.0,NOCLASS,µg/m³,EPSG:31287,15.3232,382.0,47.1357
4052,07:2315,Feinstaub (PM10),1659927600,Amt der Tiroler Landesregierung,Imst Inntalautobahn A12,"Inntalautobahn A12 km 132,56",HMW,1,8.0,NOCLASS,µg/m³,EPSG:31287,10.7357167,719.0,47.2169472
4053,06:139,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz West - Eggenberg,"Gaswerkstrasse 13, Bez. Eggenberg",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,15.404388,370.0,47.069443
4054,06:151,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Bockberg,"Bockbergweg, Jöbstl-Arbeiter",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,15.495833333333332,449.0,46.87138888888889
4055,09:AKC,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,AKH,"Allgemeines Krankenhaus, Ostringweg (zwischen Gebäuden BT25)",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,16.349818,184.0,48.21911
4056,09:A23,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,A23 Südosttangente/Wehlistraße,"Wehlistraße 366, Gstr.Nr.2157/250",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,16.43455,162.0,48.20306
4057,09:LIES,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Liesing - Carlberger-Gasse Gewerbegebiet,"Carlberger-Gasse 69 (Gst. Nr. 273/11, KG Erlaa)",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,16.30127778,211.0,48.14125
4058,10:ENK1,Feinstaub (PM10),1659927600,Umweltbundesamt,Enzenkirchen im Sauwald,"Kriegen, Kapelle",HMW,2,9.0,NOCLASS,µg/m³,EPSG:31287,13.67085,525.0,48.39167
4059,10:ILL1,Feinstaub (PM10),1659927600,Umweltbundesamt,Illmitz am Neusiedler See,Biologische Station Illmitz,HMW,2,9.0,NOCLASS,µg/m³,EPSG:31287,16.76639,117.0,47.77028
4060,06:106,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.086667,445.0,47.06333
4061,06:107,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Voitsberg Mühlgasse,"Mühlgasse, Ecke Franz Josef-Straße",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.15277777777778,390.0,47.04472222222222
4062,06:136,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Judendorf Süd,"Ringsiedlung, Murufer",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.351111111111,375.0,47.12027777778
4063,06:138,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Nord Gösting,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.4151111111111,355.0,47.0943611111
4064,06:145,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Kapfenberg St. Martin,"St. Martin, Anton Buchalka-Straße 13, Ecke Friedhofweg",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.29032,517.0,47.44583333333333
4065,06:164,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Don Bosco,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.416603,358.0,47.055611
4066,06:171,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Ost Petersgasse,"Petersgasse, gegenüber Eisteichgasse",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.46665,366.0,47.05952
4067,06:177,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Liezen Pyhrnbach,Alte Gasse 12,HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,14.244676,649.0,47.565439
4068,06:179,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Hartberg Zentrum,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.971852,349.0,47.28286
4069,06:194,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Mürzzuschlag Roseggerpark,"Roseggerpark, Waldgasse/Roseggergasse",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,15.673055555555557,679.0,47.60472222222222
4070,09:BELG,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Belgradplatz,"Belgradplatz (Südostecke), Gstr.Nr. 816/252",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,16.3614172222222,218.0,48.1743530555556
4071,09:GAUD,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Gaudenzdorf,"Umspannwerk Gaudenzdorfer Gürtel, Dunklerg. 1-7/O. Perl-Weg",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,16.3393311111111,179.0,48.1871469444444
4072,09:KEND,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Kendlerstraße,Kendlerstraße 40 (Umspannwerk),HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,16.30975,236.0,48.205
4073,09:LAA,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Laaer Berg,"Laaer Berg, Theodor Sickel-Gasse 1",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,16.3929202777778,251.0,48.1610363888889
4074,10:KLH1,Feinstaub (PM10),1659927600,Umweltbundesamt,Klöch bei Bad Radkersburg,"Seindl, Dissay-Weg",HMW,2,10.0,NOCLASS,µg/m³,EPSG:31287,15.95632,415.0,46.7672
4075,04:S407,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,"Vöcklabruck, Untere Agergasse",Untere Agergasse 14,HMW,2,11.0,NOCLASS,µg/m³,EPSG:31287,13.6676111,420.0,48.0008965
4076,06:142,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,15.0745,555.0,47.37555555555556
4077,06:176,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,B116 (Bruck an der Mur),Wiener Straße 77,HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,15.270528,504.0,47.425667
4078,06:180,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Bruck an der Mur Flurgasse,"Flurgasse 2, Ecke Oberdorfer Straße",HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,15.253333,485.0,47.409443
4079,09:FLO,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Floridsdorf,"Floridsdorf, Gerichtsgasse 1a (Prager Str. 65m)",HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,16.396954,164.0,48.261086
4080,09:KE,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Kaiser-Ebersdorf,"Kaiserebersdorf, Alberner Straße 8 (Umspannwerk) (A4 160m)",HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,16.476051,158.0,48.156708
4081,09:LOB,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Lobau,Lobau Grundwasserwerk,HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,16.5256138888889,155.0,48.1620694444444
4082,09:SCHA,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,16.301563,319.0,48.23537
4083,09:STAD,Feinstaub (PM10),1659927600,Gemeinde Wien - MA22 Umweltschutz,Stadlau,"Hausgrundweg 23, Gstr. 254/1",HMW,1,11.0,NOCLASS,µg/m³,EPSG:31287,16.458345,159.0,48.226360833333
4084,01:0007,Feinstaub (PM10),1659927600,Amt der Burgenländischen Landesregierung,Pöttelsdorf,Berggasse,HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,16.434389,214.0,47.749044
4085,04:S184,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,"Linz Stadtpark, Noßbergerstraße","Noßbergerstraße, hinter Museumstraße 34a",HMW,2,12.0,NOCLASS,µg/m³,EPSG:31287,14.297502777777778,260.0,48.30611944444444
4086,04:S404,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,Traun Tischlerstraße,Tischlerstrasse Kindergarten,HMW,2,12.0,NOCLASS,µg/m³,EPSG:31287,14.23755,274.0,48.22535
4087,04:S406,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,Wels Linzerstraße,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",HMW,2,12.0,NOCLASS,µg/m³,EPSG:31287,14.0366,316.0,48.1649
4088,06:036,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Lustbühel,Observatorium Schloss Lustbühel,HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,15.493688888888888,473.0,47.06701111111112
4089,06:178,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Weiz Bahnhofstraße,Bahnhofstraße 7,HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,15.628392,459.0,47.215703
4090,06:197,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Leibnitz Lastenstraße,"Lastenstraße 12, Volksschule",HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,15.540555555555557,272.0,46.77833333333333
4091,06:198,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Fürstenfeld Ungartorweg,Hauptschule Schillerplatz 2,HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,16.07905,276.0,47.04735
4092,06:114,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Zeltweg Hauptschule,"Feldgasse, Hauptschule",HMW,1,13.0,NOCLASS,µg/m³,EPSG:31287,14.753333,675.0,47.1925
4093,06:118,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,"Judenburg, Sportplatz","Stadionstraße, südlich des Sportplatzes",HMW,1,13.0,NOCLASS,µg/m³,EPSG:31287,14.676666666666666,715.0,47.17833333333333
4094,06:143,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Leoben Zentrum,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",HMW,1,13.0,NOCLASS,µg/m³,EPSG:31287,15.0889,543.0,47.3823
4095,04:S416,Feinstaub (PM10),1659927600,Amt der Oberösterreichischen Landesregierung,Linz Neue Welt,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,2,14.0,NOCLASS,µg/m³,EPSG:31287,14.31479,265.0,48.27329
4096,06:141,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Leoben Göss,"Mayr-Melnhof-Straße, Südende, Kindergarten, Pz.Nr. 503/49 ",HMW,1,14.0,NOCLASS,µg/m³,EPSG:31287,15.10361111111111,554.0,47.35888888888889
4097,06:172,Feinstaub (PM10),1659927600,Amt der Steiermärkischen Landesregierung,Graz Mitte Gries,Platz der Freiwilligen Schützen,HMW,1,14.0,NOCLASS,µg/m³,EPSG:31287,15.431945,366.0,47.06924
4098,01:0001,Feinstaub (PM10),1659927600,Amt der Burgenländischen Landesregierung,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,1,15.0,NOCLASS,µg/m³,EPSG:31287,16.52617,165.0,47.8401138
4099,07:2530,Feinstaub (PM10),1659927600,Amt der Tiroler Landesregierung,Wörgl Stelzhamerstraße,Josef Stelzhamer-Straße / Joseph Haydn-Straße 4,HMW,1,16.0,NOCLASS,µg/m³,EPSG:31287,12.066633,508.0,47.4885583
4100,01:0003,Feinstaub (PM10),1659927600,Amt der Burgenländischen Landesregierung,Kittsee,Neurisse - Brunnenfeld ,HMW,1,21.0,NOCLASS,µg/m³,EPSG:31287,17.0703159,136.0,48.1091532
4101,06:170,Feinstaub (PM2.5),1659927600,Amt der Steiermärkischen Landesregierung,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",HMW,1,2.0,NOCLASS,µg/m³,EPSG:31287,15.43308,345.0,47.04172
4102,06:107,Feinstaub (PM2.5),1659927600,Amt der Steiermärkischen Landesregierung,Voitsberg Mühlgasse,"Mühlgasse, Ecke Franz Josef-Straße",HMW,1,4.0,NOCLASS,µg/m³,EPSG:31287,15.15277777777778,390.0,47.04472222222222
4103,09:TAB,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Taborstraße,Ecke Taborstraße - Glockengasse,HMW,1,4.0,NOCLASS,µg/m³,EPSG:31287,16.3809180555556,162.0,48.2167394444444
4104,10:PIL1,Feinstaub (PM2.5),1659927600,Umweltbundesamt,Pillersdorf bei Retz,Am Öhlberg,HMW,2,4.0,NOCLASS,µg/m³,EPSG:31287,15.93595,315.0,48.7212
4105,10:ZOE2,Feinstaub (PM2.5),1659927600,Umweltbundesamt,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",HMW,2,4.0,NOCLASS,µg/m³,EPSG:31287,14.44095,899.0,47.83828
4106,06:197,Feinstaub (PM2.5),1659927600,Amt der Steiermärkischen Landesregierung,Leibnitz Lastenstraße,"Lastenstraße 12, Volksschule",HMW,1,5.0,NOCLASS,µg/m³,EPSG:31287,15.540555555555557,272.0,46.77833333333333
4107,09:A23,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,A23 Südosttangente/Wehlistraße,"Wehlistraße 366, Gstr.Nr.2157/250",HMW,1,5.0,NOCLASS,µg/m³,EPSG:31287,16.43455,162.0,48.20306
4108,09:AKC,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,AKH,"Allgemeines Krankenhaus, Ostringweg (zwischen Gebäuden BT25)",HMW,1,5.0,NOCLASS,µg/m³,EPSG:31287,16.349818,184.0,48.21911
4109,09:KE,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Kaiser-Ebersdorf,"Kaiserebersdorf, Alberner Straße 8 (Umspannwerk) (A4 160m)",HMW,1,5.0,NOCLASS,µg/m³,EPSG:31287,16.476051,158.0,48.156708
4110,06:176,Feinstaub (PM2.5),1659927600,Amt der Steiermärkischen Landesregierung,B116 (Bruck an der Mur),Wiener Straße 77,HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,15.270528,504.0,47.425667
4111,06:178,Feinstaub (PM2.5),1659927600,Amt der Steiermärkischen Landesregierung,Weiz Bahnhofstraße,Bahnhofstraße 7,HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,15.628392,459.0,47.215703
4112,09:BELG,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Belgradplatz,"Belgradplatz (Südostecke), Gstr.Nr. 816/252",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.3614172222222,218.0,48.1743530555556
4113,09:KEND,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Kendlerstraße,Kendlerstraße 40 (Umspannwerk),HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.30975,236.0,48.205
4114,09:LAA,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Laaer Berg,"Laaer Berg, Theodor Sickel-Gasse 1",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.3929202777778,251.0,48.1610363888889
4115,09:LIES,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Liesing - Carlberger-Gasse Gewerbegebiet,"Carlberger-Gasse 69 (Gst. Nr. 273/11, KG Erlaa)",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.30127778,211.0,48.14125
4116,09:SCHA,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.301563,319.0,48.23537
4117,09:STAD,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Stadlau,"Hausgrundweg 23, Gstr. 254/1",HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,16.458345,159.0,48.226360833333
4118,10:ENK1,Feinstaub (PM2.5),1659927600,Umweltbundesamt,Enzenkirchen im Sauwald,"Kriegen, Kapelle",HMW,2,6.0,NOCLASS,µg/m³,EPSG:31287,13.67085,525.0,48.39167
4119,10:ILL1,Feinstaub (PM2.5),1659927600,Umweltbundesamt,Illmitz am Neusiedler See,Biologische Station Illmitz,HMW,2,6.0,NOCLASS,µg/m³,EPSG:31287,16.76639,117.0,47.77028
4120,04:S108,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,14.574722222222,918.0,48.53111111
4121,04:S125,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,13.632222222222223,460.0,47.71611111111111
4122,09:FLO,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Floridsdorf,"Floridsdorf, Gerichtsgasse 1a (Prager Str. 65m)",HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,16.396954,164.0,48.261086
4123,09:GAUD,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Gaudenzdorf,"Umspannwerk Gaudenzdorfer Gürtel, Dunklerg. 1-7/O. Perl-Weg",HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,16.3393311111111,179.0,48.1871469444444
4124,09:LOB,Feinstaub (PM2.5),1659927600,Gemeinde Wien - MA22 Umweltschutz,Lobau,Lobau Grundwasserwerk,HMW,1,7.0,NOCLASS,µg/m³,EPSG:31287,16.5256138888889,155.0,48.1620694444444
4125,04:S184,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,"Linz Stadtpark, Noßbergerstraße","Noßbergerstraße, hinter Museumstraße 34a",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,14.297502777777778,260.0,48.30611944444444
4126,04:S406,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,Wels Linzerstraße,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",HMW,1,9.0,NOCLASS,µg/m³,EPSG:31287,14.0366,316.0,48.1649
4127,01:0001,Feinstaub (PM2.5),1659927600,Amt der Burgenländischen Landesregierung,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,16.52617,165.0,47.8401138
4128,04:S404,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,Traun Tischlerstraße,Tischlerstrasse Kindergarten,HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,14.23755,274.0,48.22535
4129,04:S407,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,"Vöcklabruck, Untere Agergasse",Untere Agergasse 14,HMW,1,10.0,NOCLASS,µg/m³,EPSG:31287,13.6676111,420.0,48.0008965
4130,04:S416,Feinstaub (PM2.5),1659927600,Amt der Oberösterreichischen Landesregierung,Linz Neue Welt,"Wiener Straße 233, Straßenbahnstation Neue Welt",HMW,1,12.0,NOCLASS,µg/m³,EPSG:31287,14.31479,265.0,48.27329
4131,10:VOR1,Schwefeldioxid,1659927600,Umweltbundesamt,Vorhegg bei Kötschach-Mauthen,"Kreuth 8b, Josef Zobernig",HMW,1,0.0,1,µg/m³,EPSG:31287,12.972,1010.0,46.6775
4132,02:M226,Schwefeldioxid,1659927600,Amt der Kärntner Landesregierung,Ebenthal Zell,Niederdorferstraße 5,HMW,1,1.0,1,µg/m³,EPSG:31287,14.39826,420.0,46.61011
4133,02:WO15,Schwefeldioxid,1659927600,Amt der Kärntner Landesregierung,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",HMW,1,1.0,1,µg/m³,EPSG:31287,14.84346,460.0,46.834975
4134,04:S409,Schwefeldioxid,1659927600,Amt der Oberösterreichischen Landesregierung,Steyr Münichholz,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",HMW,1,1.0,1,µg/m³,EPSG:31287,14.442777777777776,305.0,48.04944444444444
4135,04:S432,Schwefeldioxid,1659927600,Amt der Oberösterreichischen Landesregierung,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,HMW,1,1.0,1,µg/m³,EPSG:31287,13.60892,485.0,47.97386
4136,07:2110,Schwefeldioxid,1659927600,Amt der Tiroler Landesregierung,Innsbruck Zentrum - Fallmerayerstraße,Fallmerayerstraße Ecke Maximilianstrasse,HMW,1,1.0,1,µg/m³,EPSG:31287,11.3923611,577.0,47.2626194
4137,07:2519,Schwefeldioxid,1659927600,Amt der Tiroler Landesregierung,Brixlegg Innweg,"Innweg, nördöstlich Gebäude Innweg 16 a",HMW,1,1.0,1,µg/m³,EPSG:31287,11.8718028,519.0,47.4285528
4138,02:WO35,Schwefeldioxid,1659927600,Amt der Kärntner Landesregierung,St. Georgen im Lavanttal - Herzogberg,Herzogberg,HMW,1,2.0,1,µg/m³,EPSG:31287,14.891667,540.0,46.708333
4139,04:S156,Schwefeldioxid,1659927600,Amt der Oberösterreichischen Landesregierung,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",HMW,1,2.0,1,µg/m³,EPSG:31287,13.03923,350.0,48.257474
4140,04:S173,Schwefeldioxid,1659927600,Amt der Oberösterreichischen Landesregierung,"Steyregg Au, Freizeitpark","Altau, Freizeitpark, Am See 2",HMW,1,2.0,1,µg/m³,EPSG:31287,14.3665,250.0,48.27975
