,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
26,06:190,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Arnfels - Remschnigg,"Steirischer Possruck, Remschnigg, Isaak",HMW,1,1.0,1,µg/m³,EPSG:31287,15.36778,785.0,46.65195
27,07:2110,Schwefeldioxid,1659911400,Amt der Tiroler Landesregierung,Innsbruck Zentrum - Fallmerayerstraße,Fallmerayerstraße Ecke Maximilianstrasse,HMW,1,1.0,1,µg/m³,EPSG:31287,11.3923611,577.0,47.2626194
28,07:2519,Schwefeldioxid,1659911400,Amt der Tiroler Landesregierung,Brixlegg Innweg,"Innweg, nördöstlich Gebäude Innweg 16 a",HMW,1,1.0,1,µg/m³,EPSG:31287,11.8718028,519.0,47.4285528
29,09:STAD,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,Stadlau,"Hausgrundweg 23, Gstr. 254/1",HMW,1,1.0,1,µg/m³,EPSG:31287,16.458345,159.0,48.226360833333
30,10:PIL1,Schwefeldioxid,1659909600,Umweltbundesamt,Pillersdorf bei Retz,Am Öhlberg,HMW,1,1.0,1,µg/m³,EPSG:31287,15.93595,315.0,48.7212
31,02:F202,Schwefeldioxid,1659911400,Amt der Kärntner Landesregierung,Klein St. Paul - Pemberg,Pemberg,HMW,1,2.0,1,µg/m³,EPSG:31287,14.52998,810.0,46.84283
32,02:WO35,Schwefeldioxid,1659911400,Amt der Kärntner Landesregierung,St. Georgen im Lavanttal - Herzogberg,Herzogberg,HMW,1,2.0,1,µg/m³,EPSG:31287,14.891667,540.0,46.708333
33,03:0103,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Kollmitzberg,"Kollmitzberg, neben GH. Alpenblick",HMW,1,2.0,1,µg/m³,EPSG:31287,14.86505,465.0,48.179279
34,03:0301,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Hainburg Krankenhaus,"Parkplatz Bezirkskrankenhaus, Florianistraße",HMW,1,2.0,1,µg/m³,EPSG:31287,16.95787,180.0,48.1442
35,03:0407,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Groß-Enzersdorf - Glinzendorf,L3010 zwischen Glinzendorf und Rutzendorf,HMW,1,2.0,1,µg/m³,EPSG:31287,16.63638889,150.0,48.230833333
36,03:0502,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Heidenreichstein Thaures,Thaures,HMW,1,2.0,1,µg/m³,EPSG:31287,15.04666667,570.0,48.8786111
37,03:1301,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Mistelbach Steinhübel,Hochbehälter Steinhübel,HMW,1,2.0,1,µg/m³,EPSG:31287,16.5788,250.0,48.57832
38,03:1502,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Payerbach - Kreuzberg,"Kreuzberg, Althammerhofstraße, Coronakreuz",HMW,1,2.0,1,µg/m³,EPSG:31287,15.860277778,890.0,47.67027778
39,03:1901,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Tulln Leopoldgasse,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",HMW,1,2.0,1,µg/m³,EPSG:31287,16.0625,178.0,48.329445
40,03:1903,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Trasdorf im Tullnerfeld,Kaindorfer Straße,HMW,1,2.0,1,µg/m³,EPSG:31287,15.8578,192.0,48.331
41,03:2401,Schwefeldioxid,1659907800,Amt der Niederösterreichischen Landesregierung,Wiener Neustadt,Neuklosterwiese Sportplatz,HMW,1,2.0,1,µg/m³,EPSG:31287,16.255,265.0,47.81416667
42,04:S108,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,HMW,1,2.0,1,µg/m³,EPSG:31287,14.574722222222,918.0,48.53111111
43,04:S156,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",HMW,1,2.0,1,µg/m³,EPSG:31287,13.03923,350.0,48.257474
44,04:S173,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,"Steyregg Au, Freizeitpark","Altau, Freizeitpark, Am See 2",HMW,1,2.0,1,µg/m³,EPSG:31287,14.3665,250.0,48.27975
45,04:S406,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,Wels Linzerstraße,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",HMW,1,2.0,1,µg/m³,EPSG:31287,14.0366,316.0,48.1649
46,04:S415,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,Linz 24er Turm A7,Heilhammerweg 54 (nahe VÖEST-Brücke der Autobahn),HMW,1,2.0,1,µg/m³,EPSG:31287,14.2977778,255.0,48.323333
47,05:1200,Schwefeldioxid,1659911400,Amt der Salzburger Landesregierung,"Salzburg Lehener Park, Franz Martin-Straße 1",Franz Martin-Straße 1,HMW,1,2.0,1,µg/m³,EPSG:31287,13.03488,420.0,47.81565
48,05:2000,Schwefeldioxid,1659911400,Amt der Salzburger Landesregierung,Hallein B159 Kreisverkehr Salzachtalstr./Europastr.,"Kreisverkehr Hagerkreuzung, S-Seite",HMW,1,2.0,1,µg/m³,EPSG:31287,13.09995,440.0,47.68259
49,05:2100,Schwefeldioxid,1659911400,Amt der Salzburger Landesregierung,Hallein Winterstall,Winterstallstraße,HMW,1,2.0,1,µg/m³,EPSG:31287,13.106,650.0,47.667
50,06:191,Schwefeldioxid,1659911400,Amt der Steiermärkischen Landesregierung,Gratwein,Aufeldstraße,HMW,1,2.0,1,µg/m³,EPSG:31287,15.3232,382.0,47.1357
51,09:KE,Schwefeldioxid,1659909600,Gemeinde Wien - MA22 Umweltschutz,Kaiser-Ebersdorf,"Kaiserebersdorf, Alberner Straße 8 (Umspannwerk) (A4 160m)",HMW,1,2.0,1,µg/m³,EPSG:31287,16.476051,158.0,48.156708
