,stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,value,unit,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner
26,07:2110,Schwefeldioxid,1659726000,11.3923611,47.2626194,577.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Innsbruck Zentrum - Fallmerayerstraße,Fallmerayerstraße Ecke Maximilianstrasse,Amt der Tiroler Landesregierung
27,07:2519,Schwefeldioxid,1659726000,11.8718028,47.4285528,519.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Brixlegg Innweg,"Innweg, nördöstlich Gebäude Innweg 16 a",Amt der Tiroler Landesregierung
28,10:ENK1,Schwefeldioxid,1659726000,13.67085,48.39167,525.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Enzenkirchen im Sauwald,"Kriegen, Kapelle",Umweltbundesamt
29,10:PIL1,Schwefeldioxid,1659726000,15.93595,48.7212,315.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Pillersdorf bei Retz,Am Öhlberg,Umweltbundesamt
30,10:ZOE2,Schwefeldioxid,1659726000,14.44095,47.83828,899.0,EPSG:31287,1,HMW,1.0,µg/m³,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt
31,02:F202,Schwefeldioxid,1659724200,14.52998,46.84283,810.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Klein St. Paul - Pemberg,Pemberg,Amt der Kärntner Landesregierung
32,02:WO35,Schwefeldioxid,1659726000,14.891667,46.708333,540.0,EPSG:31287,1,HMW,2.0,µg/m³,1,St. Georgen im Lavanttal - Herzogberg,Herzogberg,Amt der Kärntner Landesregierung
33,03:0302,Schwefeldioxid,1659726000,16.675289,48.05004,235.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Stixneusiedl,"Stixneusiedl, Hochbehälter Viehtrift",Amt der Niederösterreichischen Landesregierung
34,03:0502,Schwefeldioxid,1659726000,15.04666667,48.8786111,570.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Heidenreichstein Thaures,Thaures,Amt der Niederösterreichischen Landesregierung
35,03:0601,Schwefeldioxid,1659726000,16.31395,48.30246,260.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Klosterneuburg Meynertgasse,"Meynertgasse, südwestlich vom Wasserhochbehälter",Amt der Niederösterreichischen Landesregierung
36,03:1401,Schwefeldioxid,1659726000,16.3022222,48.0861111,215.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Mödling Bachgasse,Untere Bachgasse (Park vor Schule),Amt der Niederösterreichischen Landesregierung
37,03:1502,Schwefeldioxid,1659726000,15.860277778,47.67027778,890.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Payerbach - Kreuzberg,"Kreuzberg, Althammerhofstraße, Coronakreuz",Amt der Niederösterreichischen Landesregierung
38,03:1701,Schwefeldioxid,1659726000,15.54583333,48.370278,320.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Dunkelsteinerwald - Unterbergern,Unterbergern Bäckerberg,Amt der Niederösterreichischen Landesregierung
39,03:2401,Schwefeldioxid,1659726000,16.255,47.81416667,265.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Wiener Neustadt,Neuklosterwiese Sportplatz,Amt der Niederösterreichischen Landesregierung
40,03:2701,Schwefeldioxid,1659726000,16.474444444444444,48.145,155.0,EPSG:31287,1,HMW,2.0,µg/m³,1,"Schwechat Sportplatz, Mühlgasse","Phönix-Sportplatz, Mühlgasse/Radetzkystraße",Amt der Niederösterreichischen Landesregierung
41,04:S156,Schwefeldioxid,1659726000,13.03923,48.257474,350.0,EPSG:31287,1,HMW,2.0,µg/m³,1,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",Amt der Oberösterreichischen Landesregierung
42,04:S415,Schwefeldioxid,1659726000,14.2977778,48.323333,255.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Linz 24er Turm A7,Heilhammerweg 54 (nahe VÖEST-Brücke der Autobahn),Amt der Oberösterreichischen Landesregierung
43,05:1200,Schwefeldioxid,1659726000,13.03488,47.81565,420.0,EPSG:31287,1,HMW,2.0,µg/m³,1,"Salzburg Lehener Park, Franz Martin-Straße 1",Franz Martin-Straße 1,Amt der Salzburger Landesregierung
44,05:2000,Schwefeldioxid,1659726000,13.09995,47.68259,440.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Hallein B159 Kreisverkehr Salzachtalstr./Europastr.,"Kreisverkehr Hagerkreuzung, S-Seite",Amt der Salzburger Landesregierung
45,05:2100,Schwefeldioxid,1659726000,13.106,47.667,650.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Hallein Winterstall,Winterstallstraße,Amt der Salzburger Landesregierung
46,06:164,Schwefeldioxid,1659726000,15.416603,47.055611,358.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Graz Don Bosco,"Don-Bosco-Kirche, Kreuzung Kärntnerstraße - Alte Poststraße",Amt der Steiermärkischen Landesregierung
47,06:180,Schwefeldioxid,1659726000,15.253333,47.409443,485.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Bruck an der Mur Flurgasse,"Flurgasse 2, Ecke Oberdorfer Straße",Amt der Steiermärkischen Landesregierung
48,06:191,Schwefeldioxid,1659726000,15.3232,47.1357,382.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Gratwein,Aufeldstraße,Amt der Steiermärkischen Landesregierung
49,09:SCHA,Schwefeldioxid,1659726000,16.301563,48.23537,319.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",Gemeinde Wien - MA22 Umweltschutz
50,09:STAD,Schwefeldioxid,1659726000,16.458345,48.226360833333,159.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Stadlau,"Hausgrundweg 23, Gstr. 254/1",Gemeinde Wien - MA22 Umweltschutz
51,09:ZA,Schwefeldioxid,1659726000,16.357079,48.248993,210.0,EPSG:31287,1,HMW,2.0,µg/m³,1,Hohe Warte,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",Gemeinde Wien - MA22 Umweltschutz
52,01:0001,Schwefeldioxid,1659726000,16.52617,47.8401138,165.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",Amt der Burgenländischen Landesregierung
53,01:0003,Schwefeldioxid,1659726000,17.0703159,48.1091532,136.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Kittsee,Neurisse - Brunnenfeld ,Amt der Burgenländischen Landesregierung
54,01:0004,Schwefeldioxid,1659726000,16.32875,47.77907,254.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Bad Sauerbrunn,Freiwillige Feuerwehr,Amt der Burgenländischen Landesregierung
55,03:0301,Schwefeldioxid,1659726000,16.95787,48.1442,180.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Hainburg Krankenhaus,"Parkplatz Bezirkskrankenhaus, Florianistraße",Amt der Niederösterreichischen Landesregierung
56,03:0801,Schwefeldioxid,1659726000,15.49842,48.72421,556.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Irnfritz - Rothweinsdorf,Rothweinsdorf,Amt der Niederösterreichischen Landesregierung
57,03:2301,Schwefeldioxid,1659726000,15.6325,48.2116,270.0,EPSG:31287,1,HMW,3.0,µg/m³,1,St. Pölten Eybnerstraße,"Eybnerstraße, hinter D. Gran-Str. 16, Sportpl. Sonderschule",Amt der Niederösterreichischen Landesregierung
58,04:S416,Schwefeldioxid,1659726000,14.31479,48.27329,265.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Linz Neue Welt,"Wiener Straße 233, Straßenbahnstation Neue Welt",Amt der Oberösterreichischen Landesregierung
59,09:A23,Schwefeldioxid,1659726000,16.43455,48.20306,162.0,EPSG:31287,1,HMW,3.0,µg/m³,1,A23 Südosttangente/Wehlistraße,"Wehlistraße 366, Gstr.Nr.2157/250",Gemeinde Wien - MA22 Umweltschutz
60,09:KE,Schwefeldioxid,1659726000,16.476051,48.156708,158.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Kaiser-Ebersdorf,"Kaiserebersdorf, Alberner Straße 8 (Umspannwerk) (A4 160m)",Gemeinde Wien - MA22 Umweltschutz
61,09:STEF,Schwefeldioxid,1659726000,16.3732536111111,48.20815,172.0,EPSG:31287,1,HMW,3.0,µg/m³,1,Stephansplatz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",Gemeinde Wien - MA22 Umweltschutz
62,03:1901,Schwefeldioxid,1659726000,16.0625,48.329445,178.0,EPSG:31287,1,HMW,4.0,µg/m³,1,Tulln Leopoldgasse,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",Amt der Niederösterreichischen Landesregierung
63,03:1903,Schwefeldioxid,1659726000,15.8578,48.331,192.0,EPSG:31287,1,HMW,4.0,µg/m³,1,Trasdorf im Tullnerfeld,Kaindorfer Straße,Amt der Niederösterreichischen Landesregierung
64,03:2501,Schwefeldioxid,1659726000,15.619166,48.40861,200.0,EPSG:31287,1,HMW,4.0,µg/m³,1,Krems,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",Amt der Niederösterreichischen Landesregierung
65,04:S173,Schwefeldioxid,1659726000,14.3665,48.27975,250.0,EPSG:31287,1,HMW,4.0,µg/m³,1,"Steyregg Au, Freizeitpark","Altau, Freizeitpark, Am See 2",Amt der Oberösterreichischen Landesregierung
66,06:135,Schwefeldioxid,1659726000,15.339166666666667,47.11305555555556,454.0,EPSG:31287,1,HMW,4.0,µg/m³,1,Straßengel Kirche,Straßengel Kirche,Amt der Steiermärkischen Landesregierung
67,04:S406,Schwefeldioxid,1659726000,14.0366,48.1649,316.0,EPSG:31287,1,HMW,5.0,µg/m³,1,Wels Linzerstraße,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",Amt der Oberösterreichischen Landesregierung
68,05:1066,Schwefeldioxid,1659726000,13.043333,47.8055556,430.0,EPSG:31287,1,HMW,5.0,µg/m³,1,Salzburg Mirabellplatz,Mirabellplatz,Amt der Salzburger Landesregierung
69,04:S407,Schwefeldioxid,1659726000,13.6676111,48.0008965,420.0,EPSG:31287,1,HMW,27.0,µg/m³,1,"Vöcklabruck, Untere Agergasse",Untere Agergasse 14,Amt der Oberösterreichischen Landesregierung
70,05:5032,Ozon,1659726000,13.80804,47.12566,1025.0,EPSG:31287,1,HMW,36.0,µg/m³,NOCLASS,Tamsweg Untere Postgasse,Parkplatz Untere Postgasse 2,Amt der Salzburger Landesregierung
71,02:SP18,Ozon,1659726000,13.49388888888888,46.8013888888888,560.0,EPSG:31287,1,HMW,37.0,µg/m³,NOCLASS,Spittal a. d. Drau Oktoberstraße,"10. Oktober-Strasse 9, Schulzentrum",Amt der Kärntner Landesregierung
72,07:2106,Ozon,1659726000,11.4169445,47.27129,570.0,EPSG:31287,1,HMW,38.0,µg/m³,NOCLASS,Innsbruck Reichenau - Andechsstraße,Andechstrasse 21,Amt der Tiroler Landesregierung
73,05:5019,Ozon,1659726000,13.54318,47.13378,1140.0,EPSG:31287,1,HMW,43.0,µg/m³,NOCLASS,Zederhaus Lamm,Zederhaus Lamm,Amt der Salzburger Landesregierung
74,02:SP10,Ozon,1659726000,13.194533,46.935,686.0,EPSG:31287,1,HMW,45.0,µg/m³,NOCLASS,Obervellach Schulzentrum,"Schulzentrum Obervellach-West 27, Dürnvellach",Amt der Kärntner Landesregierung
