stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,FotoAnzahl,value,unit,Fotos_0_Link,Fotos_0_Thumb,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,Fotos_1_Link,Fotos_1_Thumb,Fotos_2_Thumb,Fotos_2_Link,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Thumb,Fotos_5_Link,Fotos_6_Link,Fotos_6_Thumb,Fotos_7_Link,Fotos_7_Thumb,Fotos_8_Link,Fotos_8_Thumb
02:WO35,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,14.891667,46.708333,540.0,EPSG:31287,1,HMW,4.0,4.0,µg/m³,/pub/fotos/stations/02WO35 nN.JPG,/pub/fotos/stations/thumbs/02WO35 nN.JPG,1,St. Georgen im Lavanttal - Herzogberg,Herzogberg,Amt der Kärntner Landesregierung,/pub/fotos/stations/02WO35 nO.JPG,/pub/fotos/stations/thumbs/02WO35 nO.JPG,/pub/fotos/stations/thumbs/02WO35 nS.JPG,/pub/fotos/stations/02WO35 nS.JPG,/pub/fotos/stations/02WO35 nW.JPG,/pub/fotos/stations/thumbs/02WO35 nW.JPG,,,,,,,,,,
03:1701,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.54583333,48.370278,320.0,EPSG:31287,1,HMW,3.0,4.0,µg/m³,/pub/fotos/stations/031701 nN.jpg,/pub/fotos/stations/thumbs/031701 nN.jpg,1,Dunkelsteinerwald - Unterbergern,Unterbergern Bäckerberg,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/031701 nO.jpg,/pub/fotos/stations/thumbs/031701 nO.jpg,/pub/fotos/stations/thumbs/031701 nW.jpg,/pub/fotos/stations/031701 nW.jpg,,,,,,,,,,,,
05:4057,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.205556,47.351387,620.0,EPSG:31287,1,HMW,3.0,4.0,µg/m³,/pub/fotos/stations/054057 nNW.jpg,/pub/fotos/stations/thumbs/054057 nNW.jpg,1,"St. Johann im Pongau, Bezirkshauptmannschaft","Bezirkshauptmannschaft, Hauptstraße 1",Amt der Salzburger Landesregierung,/pub/fotos/stations/054057 nO.jpg,/pub/fotos/stations/thumbs/054057 nO.jpg,/pub/fotos/stations/thumbs/054057 nW.jpg,/pub/fotos/stations/054057 nW.jpg,,,,,,,,,,,,
06:177,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.244676,47.565439,649.0,EPSG:31287,1,HMW,6.0,4.0,µg/m³,/pub/fotos/stations/06177 nN.JPG,/pub/fotos/stations/thumbs/06177 nN.JPG,1,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06177 nNW.JPG,/pub/fotos/stations/thumbs/06177 nNW.JPG,/pub/fotos/stations/thumbs/06177 nO.JPG,/pub/fotos/stations/06177 nO.JPG,/pub/fotos/stations/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSO.JPG,/pub/fotos/stations/thumbs/06177 nSW.JPG,/pub/fotos/stations/06177 nSW.JPG,/pub/fotos/stations/thumbs/06177 nW.JPG,/pub/fotos/stations/06177 nW.JPG,,,,,,
09:JAEG,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,16.2972,48.2702,488.0,EPSG:31287,1,HMW,4.0,4.0,µg/m³,/pub/fotos/stations/09JAEG nNO.JPG,/pub/fotos/stations/thumbs/09JAEG nNO.JPG,1,Hermannskogel,"Hermannskogel, Jägerwiese",Gemeinde Wien - MA22 Umweltschutz,/pub/fotos/stations/09JAEG nO.JPG,/pub/fotos/stations/thumbs/09JAEG nO.JPG,/pub/fotos/stations/thumbs/09JAEG nS.JPG,/pub/fotos/stations/09JAEG nS.JPG,/pub/fotos/stations/09JAEG nSW.JPG,/pub/fotos/stations/thumbs/09JAEG nSW.JPG,,,,,,,,,,
09:SCHA,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,16.301563,48.23537,319.0,EPSG:31287,1,HMW,3.0,4.0,µg/m³,/pub/fotos/stations/09SCHA nN.JPG,/pub/fotos/stations/thumbs/09SCHA nN.JPG,1,Schafberg,"Schafbergbad, Josef Redl Gasse 2, Gstr.Nr. 698/4",Gemeinde Wien - MA22 Umweltschutz,/pub/fotos/stations/09SCHA nSW.JPG,/pub/fotos/stations/thumbs/09SCHA nSW.JPG,/pub/fotos/stations/thumbs/09SCHA nW.JPG,/pub/fotos/stations/09SCHA nW.JPG,,,,,,,,,,,,
10:ZOE2,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.44095,47.83828,899.0,EPSG:31287,2,HMW,4.0,4.0,µg/m³,/pub/fotos/stations/10ZOE2 nN.jpg,/pub/fotos/stations/thumbs/10ZOE2 nN.jpg,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt,/pub/fotos/stations/10ZOE2 nO.jpg,/pub/fotos/stations/thumbs/10ZOE2 nO.jpg,/pub/fotos/stations/thumbs/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nW.jpg,/pub/fotos/stations/thumbs/10ZOE2 nW.jpg,,,,,,,,,,
03:2501,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.619166,48.40861,200.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/032501 nN.JPG,/pub/fotos/stations/thumbs/032501 nN.JPG,1,Krems,"St.Paul-Gasse/Rechte Kremszeile 54, Sportplatz",Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/032501 nS.jpg,/pub/fotos/stations/thumbs/032501 nS.jpg,/pub/fotos/stations/thumbs/032501 nSO.jpg,/pub/fotos/stations/032501 nSO.jpg,/pub/fotos/stations/032501 nW.jpg,/pub/fotos/stations/thumbs/032501 nW.jpg,,,,,,,,,,
04:S125,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,13.632222222222223,47.71611111111111,460.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/04S125 nNO.jpg,/pub/fotos/stations/thumbs/04S125 nNO.jpg,1,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S125 nNW.JPG,/pub/fotos/stations/thumbs/04S125 nNW.JPG,/pub/fotos/stations/thumbs/04S125 nSO.JPG,/pub/fotos/stations/04S125 nSO.JPG,/pub/fotos/stations/04S125 nSW.jpg,/pub/fotos/stations/thumbs/04S125 nSW.jpg,,,,,,,,,,
05:3055,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.0158333,47.936667,730.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/053055 nNW.jpg,/pub/fotos/stations/thumbs/053055 nNW.jpg,1,Haunsberg,SAFE Funkstation Simmerstatt,Amt der Salzburger Landesregierung,/pub/fotos/stations/053055 nS.jpg,/pub/fotos/stations/thumbs/053055 nS.jpg,/pub/fotos/stations/thumbs/053055 nSO.jpg,/pub/fotos/stations/053055 nSO.jpg,/pub/fotos/stations/053055 nW.jpg,/pub/fotos/stations/thumbs/053055 nW.jpg,,,,,,,,,,
05:5032,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.80804,47.12566,1025.0,EPSG:31287,1,HMW,3.0,5.0,µg/m³,/pub/fotos/stations/055032 nO.jpg,/pub/fotos/stations/thumbs/055032 nO.jpg,1,Tamsweg Untere Postgasse,Parkplatz Untere Postgasse 2,Amt der Salzburger Landesregierung,/pub/fotos/stations/055032 nSW.JPG,/pub/fotos/stations/thumbs/055032 nSW.JPG,/pub/fotos/stations/thumbs/055032 nW.jpg,/pub/fotos/stations/055032 nW.jpg,,,,,,,,,,,,
06:106,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.086667,47.06333,445.0,EPSG:31287,1,HMW,1.0,5.0,µg/m³,/pub/fotos/stations/06106 nSW.JPG,/pub/fotos/stations/thumbs/06106 nSW.JPG,1,Köflach,"Alter Rathausplatz, Volksschule Schulweg (B70: 90m)",Amt der Steiermärkischen Landesregierung,,,,,,,,,,,,,,,,
06:114,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.753333,47.1925,675.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/06114 nN.JPG,/pub/fotos/stations/thumbs/06114 nN.JPG,1,Zeltweg Hauptschule,"Feldgasse, Hauptschule",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06114 nNW.JPG,/pub/fotos/stations/thumbs/06114 nNW.JPG,/pub/fotos/stations/thumbs/06114 nSW.JPG,/pub/fotos/stations/06114 nSW.JPG,/pub/fotos/stations/06114 nW.JPG,/pub/fotos/stations/thumbs/06114 nW.JPG,,,,,,,,,,
06:195,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.212777777777776,46.81388888888888,365.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/06195 nN.JPG,/pub/fotos/stations/thumbs/06195 nN.JPG,1,Deutschlandsberg Rathausgasse,"Rathausgasse 3, Arbeiterkammer",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06195 nNO.JPG,/pub/fotos/stations/thumbs/06195 nNO.JPG,/pub/fotos/stations/thumbs/06195 nNW.JPG,/pub/fotos/stations/06195 nNW.JPG,/pub/fotos/stations/06195 nS.JPG,/pub/fotos/stations/thumbs/06195 nS.JPG,,,,,,,,,,
08:0503,Stickstoffdioxid,5 Aug 2022 20:00:00 GMT+0100,9.9267,47.5292,1020.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/080503 nN.JPG,/pub/fotos/stations/thumbs/080503 nN.JPG,1,Sulzberg - Gmeind,Gmeind,Umweltinstitut des Landes Vorarlberg,/pub/fotos/stations/080503 nO.jpg,/pub/fotos/stations/thumbs/080503 nO.jpg,/pub/fotos/stations/thumbs/080503 nS.JPG,/pub/fotos/stations/080503 nS.JPG,/pub/fotos/stations/080503 nSW.JPG,/pub/fotos/stations/thumbs/080503 nSW.JPG,,,,,,,,,,
10:KLH1,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.95632,46.7672,415.0,EPSG:31287,1,HMW,6.0,5.0,µg/m³,/pub/fotos/stations/10KLH1 nN.jpg,/pub/fotos/stations/thumbs/10KLH1 nN.jpg,1,Klöch bei Bad Radkersburg,"Seindl, Dissay-Weg",Umweltbundesamt,/pub/fotos/stations/10KLH1 nNO.jpg,/pub/fotos/stations/thumbs/10KLH1 nNO.jpg,/pub/fotos/stations/thumbs/10KLH1 nNW.jpg,/pub/fotos/stations/10KLH1 nNW.jpg,/pub/fotos/stations/10KLH1 nO.jpg,/pub/fotos/stations/thumbs/10KLH1 nO.jpg,/pub/fotos/stations/thumbs/10KLH1 nSO.jpg,/pub/fotos/stations/10KLH1 nSO.jpg,/pub/fotos/stations/thumbs/10KLH1 nSW.jpg,/pub/fotos/stations/10KLH1 nSW.jpg,,,,,,
10:PIL1,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.93595,48.7212,315.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/10PIL1 nN.jpg,/pub/fotos/stations/thumbs/10PIL1 nN.jpg,1,Pillersdorf bei Retz,Am Öhlberg,Umweltbundesamt,/pub/fotos/stations/10PIL1 nONO.jpg,/pub/fotos/stations/thumbs/10PIL1 nONO.jpg,/pub/fotos/stations/thumbs/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nSO.jpg,/pub/fotos/stations/10PIL1 nW.jpg,/pub/fotos/stations/thumbs/10PIL1 nW.jpg,,,,,,,,,,
10:ZOE2,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.44095,47.83828,899.0,EPSG:31287,1,HMW,4.0,5.0,µg/m³,/pub/fotos/stations/10ZOE2 nN.jpg,/pub/fotos/stations/thumbs/10ZOE2 nN.jpg,1,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",Umweltbundesamt,/pub/fotos/stations/10ZOE2 nO.jpg,/pub/fotos/stations/thumbs/10ZOE2 nO.jpg,/pub/fotos/stations/thumbs/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nS.jpg,/pub/fotos/stations/10ZOE2 nW.jpg,/pub/fotos/stations/thumbs/10ZOE2 nW.jpg,,,,,,,,,,
01:0004,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,16.32875,47.77907,254.0,EPSG:31287,1,HMW,,6.0,µg/m³,,,1,Bad Sauerbrunn,Freiwillige Feuerwehr,Amt der Burgenländischen Landesregierung,,,,,,,,,,,,,,,,
03:0302,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.675289,48.05004,235.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/030302 nN.JPG,/pub/fotos/stations/thumbs/030302 nN.JPG,1,Stixneusiedl,"Stixneusiedl, Hochbehälter Viehtrift",Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030302 nNW.jpg,/pub/fotos/stations/thumbs/030302 nNW.jpg,/pub/fotos/stations/thumbs/030302 nO.jpg,/pub/fotos/stations/030302 nO.jpg,/pub/fotos/stations/030302 nS.jpg,/pub/fotos/stations/thumbs/030302 nS.jpg,,,,,,,,,,
03:2604,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,14.77227777777778,48.04511111111111,330.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/032604 nN.jpg,/pub/fotos/stations/thumbs/032604 nN.jpg,1,Kematen an der Ybbs,Gimpersdorf,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/032604 nO.jpg,/pub/fotos/stations/thumbs/032604 nO.jpg,/pub/fotos/stations/thumbs/032604 nS.jpg,/pub/fotos/stations/032604 nS.jpg,/pub/fotos/stations/032604 nW.jpg,/pub/fotos/stations/thumbs/032604 nW.jpg,,,,,,,,,,
05:1200,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.03488,47.81565,420.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/051200 nN.JPG,/pub/fotos/stations/thumbs/051200 nN.JPG,1,"Salzburg Lehener Park, Franz Martin-Straße 1",Franz Martin-Straße 1,Amt der Salzburger Landesregierung,/pub/fotos/stations/051200 nO.jpg,/pub/fotos/stations/thumbs/051200 nO.jpg,/pub/fotos/stations/thumbs/051200 nS.jpg,/pub/fotos/stations/051200 nS.jpg,/pub/fotos/stations/051200 nW.jpg,/pub/fotos/stations/thumbs/051200 nW.jpg,,,,,,,,,,
06:118,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.676666666666666,47.17833333333333,715.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/06118 nN.JPG,/pub/fotos/stations/thumbs/06118 nN.JPG,1,"Judenburg, Sportplatz","Stadionstraße, südlich des Sportplatzes",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06118 nNW.JPG,/pub/fotos/stations/thumbs/06118 nNW.JPG,/pub/fotos/stations/thumbs/06118 nSO.JPG,/pub/fotos/stations/06118 nSO.JPG,/pub/fotos/stations/06118 nSW.JPG,/pub/fotos/stations/thumbs/06118 nSW.JPG,,,,,,,,,,
06:119,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,14.825277777777778,47.21037,635.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/06119 nN.JPG,/pub/fotos/stations/thumbs/06119 nN.JPG,1,Knittelfeld Parkstraße,"Parkstraße, Pestalozzistraße",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06119 nO.JPG,/pub/fotos/stations/thumbs/06119 nO.JPG,/pub/fotos/stations/thumbs/06119 nS.JPG,/pub/fotos/stations/06119 nS.JPG,/pub/fotos/stations/06119 nW.JPG,/pub/fotos/stations/thumbs/06119 nW.JPG,,,,,,,,,,
06:142,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.0745,47.37555555555556,555.0,EPSG:31287,1,HMW,3.0,6.0,µg/m³,/pub/fotos/stations/06142 nNO.JPG,/pub/fotos/stations/thumbs/06142 nNO.JPG,1,Leoben Donawitz Kindergarten,Kindergarten Pestalozzigasse (Pz.Nr. 71/8),Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06142 nO.JPG,/pub/fotos/stations/thumbs/06142 nO.JPG,/pub/fotos/stations/thumbs/06142 nW.JPG,/pub/fotos/stations/06142 nW.JPG,,,,,,,,,,,,
06:151,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.495833333333332,46.87138888888889,449.0,EPSG:31287,1,HMW,4.0,6.0,µg/m³,/pub/fotos/stations/06151 nN.JPG,/pub/fotos/stations/thumbs/06151 nN.JPG,1,Bockberg,"Bockbergweg, Jöbstl-Arbeiter",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06151 nO.JPG,/pub/fotos/stations/thumbs/06151 nO.JPG,/pub/fotos/stations/thumbs/06151 nSO.JPG,/pub/fotos/stations/06151 nSO.JPG,/pub/fotos/stations/06151 nW.JPG,/pub/fotos/stations/thumbs/06151 nW.JPG,,,,,,,,,,
07:2113,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,11.3746611,47.2699028,678.0,EPSG:31287,1,HMW,5.0,6.0,µg/m³,/pub/fotos/stations/072113 nN.JPG,/pub/fotos/stations/thumbs/072113 nN.JPG,1,Innsbruck Sadrach,Sadrach - Buttererbichl,Amt der Tiroler Landesregierung,/pub/fotos/stations/072113 nO.JPG,/pub/fotos/stations/thumbs/072113 nO.JPG,/pub/fotos/stations/thumbs/072113 nS.JPG,/pub/fotos/stations/072113 nS.JPG,/pub/fotos/stations/072113 nSO.JPG,/pub/fotos/stations/thumbs/072113 nSO.JPG,/pub/fotos/stations/thumbs/072113 nW.JPG,/pub/fotos/stations/072113 nW.JPG,,,,,,,,
03:0301,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.95787,48.1442,180.0,EPSG:31287,1,HMW,1.0,7.0,µg/m³,/pub/fotos/stations/030301 nS.jpg,/pub/fotos/stations/thumbs/030301 nS.jpg,1,Hainburg Krankenhaus,"Parkplatz Bezirkskrankenhaus, Florianistraße",Amt der Niederösterreichischen Landesregierung,,,,,,,,,,,,,,,,
03:0403,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.522,48.3929,260.0,EPSG:31287,1,HMW,4.0,7.0,µg/m³,/pub/fotos/stations/030403 nNW.JPG,/pub/fotos/stations/thumbs/030403 nNW.JPG,1,Wolkersdorf,Hochbehälter Breitenkreuz,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030403 nO.jpg,/pub/fotos/stations/thumbs/030403 nO.jpg,/pub/fotos/stations/thumbs/030403 nS.jpg,/pub/fotos/stations/030403 nS.jpg,/pub/fotos/stations/030403 nW.jpg,/pub/fotos/stations/thumbs/030403 nW.jpg,,,,,,,,,,
03:0599,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.3279444,48.30822222,170.0,EPSG:31287,1,HMW,4.0,7.0,µg/m³,/pub/fotos/stations/030599 nN.jpg,/pub/fotos/stations/thumbs/030599 nN.jpg,1,Klosterneuburg B14 (Bahnhof Klosterneuburg-Kierling),Parkplatz Bahnhof Klosterneuburg-Kierling,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030599 nNO.jpg,/pub/fotos/stations/thumbs/030599 nNO.jpg,/pub/fotos/stations/thumbs/030599 nO.jpg,/pub/fotos/stations/030599 nO.jpg,/pub/fotos/stations/030599 nS.jpg,/pub/fotos/stations/thumbs/030599 nS.jpg,,,,,,,,,,
03:1901,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.0625,48.329445,178.0,EPSG:31287,1,HMW,2.0,7.0,µg/m³,/pub/fotos/stations/031901 nO.jpg,/pub/fotos/stations/thumbs/031901 nO.jpg,1,Tulln Leopoldgasse,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/031901 nSO.jpg,/pub/fotos/stations/thumbs/031901 nSO.jpg,,,,,,,,,,,,,,
04:S432,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.60892,47.97386,485.0,EPSG:31287,1,HMW,3.0,7.0,µg/m³,/pub/fotos/stations/04S432 nO.jpg,/pub/fotos/stations/thumbs/04S432 nO.jpg,1,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S432 nS.jpg,/pub/fotos/stations/thumbs/04S432 nS.jpg,/pub/fotos/stations/thumbs/04S432 nSW.jpg,/pub/fotos/stations/04S432 nSW.jpg,,,,,,,,,,,,
05:1066,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.043333,47.8055556,430.0,EPSG:31287,1,HMW,4.0,7.0,µg/m³,/pub/fotos/stations/051066 nN.jpg,/pub/fotos/stations/thumbs/051066 nN.jpg,1,Salzburg Mirabellplatz,Mirabellplatz,Amt der Salzburger Landesregierung,/pub/fotos/stations/051066 nO.jpg,/pub/fotos/stations/thumbs/051066 nO.jpg,/pub/fotos/stations/thumbs/051066 nS.JPG,/pub/fotos/stations/051066 nS.JPG,/pub/fotos/stations/051066 nW.jpg,/pub/fotos/stations/thumbs/051066 nW.jpg,,,,,,,,,,
03:0401,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,16.729445,48.33472,161.0,EPSG:31287,1,HMW,4.0,8.0,µg/m³,/pub/fotos/stations/030401 nN.jpg,/pub/fotos/stations/thumbs/030401 nN.jpg,1,Gänserndorf Baumschulweg,Baumschulweg,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030401 nO.jpg,/pub/fotos/stations/thumbs/030401 nO.jpg,/pub/fotos/stations/thumbs/030401 nS.jpg,/pub/fotos/stations/030401 nS.jpg,/pub/fotos/stations/030401 nW.jpg,/pub/fotos/stations/thumbs/030401 nW.jpg,,,,,,,,,,
03:0502,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.04666667,48.8786111,570.0,EPSG:31287,1,HMW,2.0,8.0,µg/m³,/pub/fotos/stations/030502 nN.jpg,/pub/fotos/stations/thumbs/030502 nN.jpg,1,Heidenreichstein Thaures,Thaures,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030502 nO.JPG,/pub/fotos/stations/thumbs/030502 nO.JPG,,,,,,,,,,,,,,
04:S156,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.03923,48.257474,350.0,EPSG:31287,1,HMW,3.0,8.0,µg/m³,/pub/fotos/stations/04S156 nN.jpg,/pub/fotos/stations/thumbs/04S156 nN.jpg,1,"Braunau Zentrum, Kolpingplatz","Kolpingplatz, Ecke Ringstraße 23 (Parkplatz Sonderschule)",Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S156 nS.JPG,/pub/fotos/stations/thumbs/04S156 nS.JPG,/pub/fotos/stations/thumbs/04S156 nW.JPG,/pub/fotos/stations/04S156 nW.JPG,,,,,,,,,,,,
06:197,Stickstoffdioxid,5 Aug 2022 21:30:00 GMT+0100,15.540555555555557,46.77833333333333,272.0,EPSG:31287,1,HMW,4.0,8.0,µg/m³,/pub/fotos/stations/06197 nN.JPG,/pub/fotos/stations/thumbs/06197 nN.JPG,1,Leibnitz Lastenstraße,"Lastenstraße 12, Volksschule",Amt der Steiermärkischen Landesregierung,/pub/fotos/stations/06197 nO.JPG,/pub/fotos/stations/thumbs/06197 nO.JPG,/pub/fotos/stations/thumbs/06197 nS.JPG,/pub/fotos/stations/06197 nS.JPG,/pub/fotos/stations/06197 nW.JPG,/pub/fotos/stations/thumbs/06197 nW.JPG,,,,,,,,,,
07:2552,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,12.1724111,47.5818083,489.0,EPSG:31287,1,HMW,5.0,8.0,µg/m³,/pub/fotos/stations/072552 nN.JPG,/pub/fotos/stations/thumbs/072552 nN.JPG,1,Kufstein Zentrum Praxmarerstraße,Praxmarerstraße / Josef Egger Straße 5,Amt der Tiroler Landesregierung,/pub/fotos/stations/072552 nNO.jpg,/pub/fotos/stations/thumbs/072552 nNO.jpg,/pub/fotos/stations/thumbs/072552 nO.JPG,/pub/fotos/stations/072552 nO.JPG,/pub/fotos/stations/072552 nSO.JPG,/pub/fotos/stations/thumbs/072552 nSO.JPG,/pub/fotos/stations/thumbs/072552 nW.JPG,/pub/fotos/stations/072552 nW.JPG,,,,,,,,
02:F103,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,14.26625,46.65285,455.0,EPSG:31287,1,HMW,2.0,9.0,µg/m³,/pub/fotos/stations/02F103 nS.jpg,/pub/fotos/stations/thumbs/02F103 nS.jpg,1,Klagenfurt A2 Nordumfahrung 2,Klagenfurt A2,Amt der Kärntner Landesregierung,/pub/fotos/stations/02F103 nSW.jpg,/pub/fotos/stations/thumbs/02F103 nSW.jpg,,,,,,,,,,,,,,
03:1903,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.8578,48.331,192.0,EPSG:31287,1,HMW,5.0,9.0,µg/m³,/pub/fotos/stations/031903 nN.JPG,/pub/fotos/stations/thumbs/031903 nN.JPG,1,Trasdorf im Tullnerfeld,Kaindorfer Straße,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/031903 nNW.jpg,/pub/fotos/stations/thumbs/031903 nNW.jpg,/pub/fotos/stations/thumbs/031903 nO.jpg,/pub/fotos/stations/031903 nO.jpg,/pub/fotos/stations/031903 nS.jpg,/pub/fotos/stations/thumbs/031903 nS.jpg,/pub/fotos/stations/thumbs/031903 nW.jpg,/pub/fotos/stations/031903 nW.jpg,,,,,,,,
03:1905,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,15.96666667,48.32222222,182.0,EPSG:31287,1,HMW,4.0,9.0,µg/m³,/pub/fotos/stations/031905 nN.jpg,/pub/fotos/stations/thumbs/031905 nN.jpg,1,Neusiedl im Tullnerfeld,Neusiedl im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/031905 nO.jpg,/pub/fotos/stations/thumbs/031905 nO.jpg,/pub/fotos/stations/thumbs/031905 nS.jpg,/pub/fotos/stations/031905 nS.jpg,/pub/fotos/stations/031905 nW.JPG,/pub/fotos/stations/thumbs/031905 nW.JPG,,,,,,,,,,
05:2000,Stickstoffdioxid,5 Aug 2022 21:00:00 GMT+0100,13.09995,47.68259,440.0,EPSG:31287,1,HMW,4.0,9.0,µg/m³,/pub/fotos/stations/052000 nNO.jpg,/pub/fotos/stations/thumbs/052000 nNO.jpg,1,Hallein B159 Kreisverkehr Salzachtalstr./Europastr.,"Kreisverkehr Hagerkreuzung, S-Seite",Amt der Salzburger Landesregierung,/pub/fotos/stations/052000 nNW.jpg,/pub/fotos/stations/thumbs/052000 nNW.jpg,/pub/fotos/stations/thumbs/052000 nO.jpg,/pub/fotos/stations/052000 nO.jpg,/pub/fotos/stations/052000 nSW.jpg,/pub/fotos/stations/thumbs/052000 nSW.jpg,,,,,,,,,,
