stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,FotoAnzahl,value,unit,Fotos_0_Link,Fotos_0_Thumb,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner,Fotos_1_Link,Fotos_1_Thumb,Fotos_2_Thumb,Fotos_2_Link,Fotos_3_Link,Fotos_3_Thumb,Fotos_4_Thumb,Fotos_4_Link,Fotos_5_Thumb,Fotos_5_Link,Fotos_6_Link,Fotos_6_Thumb,Fotos_7_Link,Fotos_7_Thumb,Fotos_8_Link,Fotos_8_Thumb
02:M226,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.39826,46.61011,420.0,EPSG:31287,1,HMW,6.0,1.0,µg/m³,/pub/fotos/stations/02M226 nN.jpg,/pub/fotos/stations/thumbs/02M226 nN.jpg,1,Ebenthal Zell,Niederdorferstraße 5,Amt der Kärntner Landesregierung,/pub/fotos/stations/02M226 nO.jpg,/pub/fotos/stations/thumbs/02M226 nO.jpg,/pub/fotos/stations/thumbs/02M226 nS.jpg,/pub/fotos/stations/02M226 nS.jpg,/pub/fotos/stations/02M226 nSO.JPG,/pub/fotos/stations/thumbs/02M226 nSO.JPG,/pub/fotos/stations/thumbs/02M226 nSW.JPG,/pub/fotos/stations/02M226 nSW.JPG,/pub/fotos/stations/thumbs/02M226 nW.jpg,/pub/fotos/stations/02M226 nW.jpg,,,,,,
02:WO15,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.84346,46.834975,460.0,EPSG:31287,1,HMW,6.0,1.0,µg/m³,/pub/fotos/stations/02WO15 nN.JPG,/pub/fotos/stations/thumbs/02WO15 nN.JPG,1,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",Amt der Kärntner Landesregierung,/pub/fotos/stations/02WO15 nNO.jpg,/pub/fotos/stations/thumbs/02WO15 nNO.jpg,/pub/fotos/stations/thumbs/02WO15 nO.jpg,/pub/fotos/stations/02WO15 nO.jpg,/pub/fotos/stations/02WO15 nS.jpg,/pub/fotos/stations/thumbs/02WO15 nS.jpg,/pub/fotos/stations/thumbs/02WO15 nSW.JPG,/pub/fotos/stations/02WO15 nSW.JPG,/pub/fotos/stations/thumbs/02WO15 nW.jpg,/pub/fotos/stations/02WO15 nW.jpg,,,,,,
03:0103,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.86505,48.179279,465.0,EPSG:31287,1,HMW,1.0,1.0,µg/m³,/pub/fotos/stations/030103 nO.jpg,/pub/fotos/stations/thumbs/030103 nO.jpg,1,Kollmitzberg,"Kollmitzberg, neben GH. Alpenblick",Amt der Niederösterreichischen Landesregierung,,,,,,,,,,,,,,,,
03:0202,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,15.9189,48.1051,581.0,EPSG:31287,1,HMW,2.0,1.0,µg/m³,/pub/fotos/stations/030202 nS.jpg,/pub/fotos/stations/thumbs/030202 nS.jpg,1,Forsthof am Schöpfl,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030202 nSW.JPG,/pub/fotos/stations/thumbs/030202 nSW.JPG,,,,,,,,,,,,,,
03:0401,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,16.729445,48.33472,161.0,EPSG:31287,1,HMW,4.0,1.0,µg/m³,/pub/fotos/stations/030401 nN.jpg,/pub/fotos/stations/thumbs/030401 nN.jpg,1,Gänserndorf Baumschulweg,Baumschulweg,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/030401 nO.jpg,/pub/fotos/stations/thumbs/030401 nO.jpg,/pub/fotos/stations/thumbs/030401 nS.jpg,/pub/fotos/stations/030401 nS.jpg,/pub/fotos/stations/030401 nW.jpg,/pub/fotos/stations/thumbs/030401 nW.jpg,,,,,,,,,,
03:0407,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,16.63638889,48.230833333,150.0,EPSG:31287,1,HMW,1.0,1.0,µg/m³,/pub/fotos/stations/030407 nSW.jpg,/pub/fotos/stations/thumbs/030407 nSW.jpg,1,Groß-Enzersdorf - Glinzendorf,L3010 zwischen Glinzendorf und Rutzendorf,Amt der Niederösterreichischen Landesregierung,,,,,,,,,,,,,,,,
03:1301,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,16.5788,48.57832,250.0,EPSG:31287,1,HMW,5.0,1.0,µg/m³,/pub/fotos/stations/031301 nN.jpg,/pub/fotos/stations/thumbs/031301 nN.jpg,1,Mistelbach Steinhübel,Hochbehälter Steinhübel,Amt der Niederösterreichischen Landesregierung,/pub/fotos/stations/031301 nNO.jpg,/pub/fotos/stations/thumbs/031301 nNO.jpg,/pub/fotos/stations/thumbs/031301 nO.JPG,/pub/fotos/stations/031301 nO.JPG,/pub/fotos/stations/031301 nS.jpg,/pub/fotos/stations/thumbs/031301 nS.jpg,/pub/fotos/stations/thumbs/031301 nW.jpg,/pub/fotos/stations/031301 nW.jpg,,,,,,,,
04:S108,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.574722222222,48.53111111,918.0,EPSG:31287,1,HMW,5.0,1.0,µg/m³,/pub/fotos/stations/04S108 nN.jpg,/pub/fotos/stations/thumbs/04S108 nN.jpg,1,Grünbach bei Freistadt,Oberrauchenödt Kirche St. Michael,Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S108 nNO.jpg,/pub/fotos/stations/thumbs/04S108 nNO.jpg,/pub/fotos/stations/thumbs/04S108 nO.JPG,/pub/fotos/stations/04S108 nO.JPG,/pub/fotos/stations/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nS.JPG,/pub/fotos/stations/thumbs/04S108 nW.JPG,/pub/fotos/stations/04S108 nW.JPG,,,,,,,,
04:S409,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,14.442777777777776,48.04944444444444,305.0,EPSG:31287,1,HMW,5.0,1.0,µg/m³,/pub/fotos/stations/04S409 nN.jpg,/pub/fotos/stations/thumbs/04S409 nN.jpg,1,Steyr Münichholz,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S409 nNO.jpg,/pub/fotos/stations/thumbs/04S409 nNO.jpg,/pub/fotos/stations/thumbs/04S409 nO.jpg,/pub/fotos/stations/04S409 nO.jpg,/pub/fotos/stations/04S409 nSW.jpg,/pub/fotos/stations/thumbs/04S409 nSW.jpg,/pub/fotos/stations/thumbs/04S409 nW.JPG,/pub/fotos/stations/04S409 nW.JPG,,,,,,,,
04:S432,Schwefeldioxid,5 Aug 2022 19:00:00 GMT+0100,13.60892,47.97386,485.0,EPSG:31287,1,HMW,3.0,1.0,µg/m³,/pub/fotos/stations/04S432 nO.jpg,/pub/fotos/stations/thumbs/04S432 nO.jpg,1,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,Amt der Oberösterreichischen Landesregierung,/pub/fotos/stations/04S432 nS.jpg,/pub/fotos/stations/thumbs/04S432 nS.jpg,/pub/fotos/stations/thumbs/04S432 nSW.jpg,/pub/fotos/stations/04S432 nSW.jpg,,,,,,,,,,,,
